<STATE>AL,,
Alexander City,33.0,-86.0
Anniston,33.6,-85.8
Auburn,32.6,-85.5
Birmingham,33.6,-86.8
Decatur,34.6,-87.0
Dothan,31.3,-85.5
Florence,34.8,-87.7
Gadsden,34.0,-86.0
Huntsville,34.7,-86.6
Mobile,30.7,-88.3
Montgomery,32.4,-86.4
Talladega,33.5,-86.1
Tuscaloosa,33.2,-87.6
Grove Hill,31.7,-87.8
Andalusia,31.3,-86.5
Ozark,31.4,-85.7
Greensboro,32.7,-87.6
Phenix City,32.5,-85.0
<STATE>AK,,
Anchorage,61.2,-150.0
Barrow,71.3,-156.8
Fairbanks,64.8,-147.9
Juneau,58.4,-134.6
Kodiak,57.8,-152.5
Nome,64.5,-165.4
<STATE>AZ,,
Douglas,31.4,-109.6
Flagstaff,35.1,-111.7
Kingman,35.2,-114.0
Nogales,31.4,-110.9
Phoenix,33.4,-112.0
Prescott,34.6,-112.4
Tucson,32.1,-110.9
Winslow,35.0,-110.7
Yuma,32.6,-114.6
Safford,32.8,-109.7
St. Johns,34.5,-109.4
Parker,34.0,-114.1
San Carlos,33.3,-110.5
Payson,34.2,-111.3
Snowflake,34.5,-110.1
Lake Havasu City,34.5,-114.3
<STATE>AR,,
Camden,33.6,-92.8
El Dorado,33.2,-92.8
Fayetteville,36.0,-94.2
Fort Smith,35.3,-94.4
Hot Springs,34.5,-93.1
Jonesboro,35.8,-90.7
Little Rock,34.7,-92.2
Pine Bluff,34.3,-92.1
Texarkana,33.5,-94.0
Russelville,35.3,-93.1
Helena,34.6,-90.7
Blytheville,35.9,-89.9
<STATE>CA,,
Bakersfield,35.4,-119.1
Barstow,34.9,-116.8
Berkeley,37.9,-122.3
Bolinas,37.9,-122.7
Blythe,33.6,-114.7
Burbank,34.2,-118.3
Chico,39.8,-121.8
Concord,38.0,-122.0
Covina,34.1,-117.9
Crescent City,41.8,-124.2
Downey,33.9,-118.1
El Cajon,32.8,-117.0
El Cerrito,37.9,-122.3
Escondido,33.1,-117.1
Eureka/Arcata,41.0,-124.1
Fresno,36.8,-119.7
Healdsburg,38.6,-122.9
Hopland,39.0,-123.1
Livermore,37.7,-122.0
Long Beach,33.8,-118.2
Los Angeles,33.9,-118.4
Modesto,37.6,-121.0
Monterey,36.6,-121.9
Napa,38.2,-122.3
Needles,34.6,-114.6
Oakland,37.8,-122.3
Oceanside,33.2,-117.4
Ontario,34.0,-117.6
Oxnard,34.2,-119.2
Palmdale,34.6,-118.1
Palm Springs,33.8,-116.5
Pasadena,34.1,-118.2
Petaluma,38.2,-122.6
Pomona,34.1,-117.8
Redding,40.5,-122.3
Redlands,34.0,-117.2
Richmond,37.9,-122.3
Sacramento,38.5,-121.5
Salinas,36.7,-121.6
San Diego,32.7,-117.2
San Fernando,34.3,-118.5
San Francisco,37.6,-122.4
San Jose,37.4,-121.9
San Luis Obispo,35.3,-120.7
San Rafael,38.0,-122.5
Santa Ana,33.8,-117.9
Santa Barbara,34.4,-119.7
Santa Cruz,37.0,-122.0
Santa Maria,34.9,-120.5
Santa Monica,34.0,-118.5
Santa Paula,34.4,-119.1
Santa Rosa,38.5,-122.8
Stockton,37.9,-121.3
Thousand Oaks,34.2,-118.9
Ukiah,39.1,-123.2
Windsor,38.6,-122.8
Ventura,34.3,-119.3
Visalia,36.3,-119.3
Yreka,41.7,-122.6
Yuba City,39.1,-121.6
<STATE>CO,,
Alamosa,37.5,-105.9
Boulder,40.0,-105.3
Carbondale,39.4,-107.2
Colorado Springs,38.8,-104.7
Denver,39.8,-104.9
Durango,37.3,-107.9
Fort Collins,40.8,-105.1
Grand Junction,39.1,-108.5
Greeley,40.4,-104.6
La Junta,38.0,-103.5
Leadville,39.3,-106.3
Paonia,38.9,-107.6
Pueblo,38.3,-104.5
Sterling,40.6,-103.2
Trinidad,37.3,-104.5
Cortez,37.4,-108.6
Meeker,40.1,-107.9
Steamboat Springs,40.5,-106.8
Springfield,37.4,-102.6
Burlington,39.3,-102.3
Wray,40.1,-102.2
<STATE>CT,,
Bridgeport,41.2,-73.2
Hartford,41.8,-72.7
New Haven,41.3,-73.9
New London,41.4,-72.1
Norwalk,41.1,-73.4
Norwich,41.6,-72.1
Waterbury,41.6,-73.1
Danbury,41.4,-73.5
<STATE>DE,,
Dover AFB,39.1,-75.5
Wilmington,39.7,-75.6
Millsboro,38.6,-75.3
<STATE>DC,,
Washington DC,39.0,-77.1
<STATE>FL,,
Daytona Beach,29.2,-81.0
E Fort Lauderdale,26.1,-80.2
Fort Myers,26.6,-81.9
Fort Pierce,27.5,-80.3
Gainsville,29.7,-82.3
Jacksonville,30.5,-81.7
Key West,24.6,-81.8
Lakeland,28.0,-82.0
Miami,25.8,-80.3
Ocala,29.2,-82.1
Orlando,28.6,-81.4
Pensacola,30.5,-87.2
St. Augustine,30.0,-81.3
Stanford,28.8,-81.3
Sarasota,27.4,-82.5
Tallahassee,30.4,-84.4
Tampa,28.0,-82.5
West Palm Beach,26.7,-80.1
Marianna,30.8,-85.2
Cross City,29.6,-83.1
Sebring,27.5,-81.5
Union,28.6,-81.2
<STATE>GA,,
Americus,32.0,-84.2
Athens,34.0,-83.3
Atlanta,33.6,-84.4
Augusta,33.4,-82.0
Brunswick,31.3,-81.5
Dalton,34.6,-85.0
Dublin,32.3,-82.9
Gainsville,34.2,-83.7
Griffin,33.2,-84.3
LaGrange,33.0,-85.1
Macon,32.7,-83.7
Savannah,32.1,-81.2
Waycross,31.3,-82.4
Rome,34.3,-85.2
Thomasville,30.8,-84.0
Summerville,34.5,-85.4
Dublin,32.3,-82.9
<STATE>HI,,
Hilo,19.7,-155.1
