<SIZE>26
<LANG>EN,DE
<STATE>Carinthia,KA
Arnoldstein,Arnoldstein,46.5,13.7
Bad Sankt Leonhard im Lavanttal,Bad Sankt Leonhard im Lavanttal,47,14.8
Ebenthal,Ebenthal,46.6,14.4
Eberndorf,Eberndorf,46.6,14.6
Feldkirchen in Kärnten,Feldkirchen in Kärnten,46.7,14.1
Ferlach,Ferlach,46.5,14.3
Finkenstein,Finkenstein,46.6,13.9
Friesach,Friesach,47,14.4
Hermagor,Hermagor,46.6,13.4
Klagenfurt,Klagenfurt,46.6,14.3
Lainach,Lainach,46.9,12.9
Lamnitz,Lamnitz,46.9,13
Lobersberg,Lobersberg,46.9,12.9
Moosburg,Moosburg,46.7,14.2
Paternion,Paternion,46.7,13.6
Rangersdorf,Rangersdorf,46.9,13
Sankt Andrä,Sankt Andrä,46.8,14.8
Sankt Jakob,Sankt Jakob,46.5,14.1
Sankt Veit an der Glan,Sankt Veit an der Glan,46.8,14.4
Seeboden,Seeboden,46.8,13.5
Spittal an der Drau,Spittal an der Drau,46.8,13.5
Velden am Wörthersee,Velden am Wörthersee,46.6,14
Villach,Gratschach,46.6,13.9
Völkermarkt,Völkermarkt,46.7,14.6
Wernberg,Wernberg,46.6,13.9
Wolfsberg,Wolfsberg,46.8,14.8
