<SIZE>66
<LANG>EN,DE
<STATE>Lower Austria,NO
Amstetten,Amstetten,48.1,14.9
Bad Vöslau,Bad Vöslau,48,16.2
Baden bei Wien,Baden,48,16.2
Berndorf,Berndorf,48,16.1
Bruck an der Leitha,Bruck an der Leitha,48,16.8
Deutsch-Wagram,Deutsch-Wagram,48.3,16.6
Ebreichsdorf,Ebreichsdorf,48,16.4
Fischamend Dorf,Fischamend Dorf,48.1,16.6
Gerasdorf bei Wien,Gerasdorf bei Wien,48.3,16.5
Gloggnitz,Gloggnitz,47.7,15.9
Gmünd,Gmünd,48.8,15
Groß-Enzersdorf,Groß-Enzersdorf,48.2,16.6
Gänserndorf,Gänserndorf,48.3,16.7
Haag,Haag,48.2,15.5
Hainburg an der Donau,Hainburg an der Donau,48.1,16.9
Heidenreichstein,Heidenreichstein,48.9,15.1
Herzogenburg,Herzogenburg,48.3,15.7
Himberg,Himberg,48.1,16.4
Hollabrunn,Hollabrunn,48.6,16.1
Horn,Horn,48.7,15.7
Klosterneuburg,Klosterneuburg,48.3,16.3
Korneuburg,Korneuburg,48.3,16.3
Kottingbrunn,Kottingbrunn,48,16.2
Krems,Krems an der Donau,48.4,15.6
Laa an der Thaya,Laa an der Thaya,48.7,16.4
Langenlois,Langenlois,48.5,15.7
Langenzersdorf,Langenzersdorf,48.3,16.4
Maria Enzersdorf,Maria Enzersdorf,48.1,16.3
Melk,Melk,48.2,15.3
Mistelbach,Mistelbach,48.6,16.6
Mödling,Mödling,48.1,16.3
Neu-Guntramsdorf,Neu-Guntramsdorf,48.1,16.3
Neunkirchen,Neunkirchen,47.7,16.1
Obergrünbach,Obergrünbach,48.9,15.5
Perchtoldsdorf,Perchtoldsdorf,48.1,16.3
Pettendorf,Pettendorf,48.4,16.1
Pottendorf,Pottendorf,47.9,16.4
Poysdorf,Poysdorf,48.7,16.6
Pressbaum,Pressbaum,48.2,16.1
Purgstall,Purgstall,48.1,15.1
Purkersdorf,Purkersdorf,48.2,16.2
Ragelsdorf,Ragelsdorf,48.7,16
Reichenau,Reichenau,47.7,15.8
Retz,Retz,48.8,16
Sankt Pölten,Sankt Pölten,48.2,15.6
Sankt Valentin,Sankt Valentin,48.2,14.5
Schrems,Schrems,48.8,15.1
Schwechat,Schwechat,48.1,16.5
Sieghartskirchen,Sieghartskirchen,48.3,16
Stockerau,Stockerau,48.4,16.2
Strasshof an der Nordbahn,Strasshof an der Nordbahn,48.3,16.7
Ternitz,Ternitz,47.7,16
Traiskirchen,Traiskirchen,48,16.3
Traismauer,Traismauer,48.3,15.7
Tulbingerkogel,Tulbingerkogel,48.3,16.2
Tulln,Tulln,48.3,16
Waidhofen an der Thaya,Waidhofen an der Thaya,48.8,15.3
Waidhofen an der Ybbs,Waidhofen an der Ybbs,48,14.8
Wiener Neudorf,Wiener Neudorf,48.1,16.3
Wiener Neustadt,Wiener Neustadt,47.8,16.3
Wilhelmsburg,Wilhelmsburg,48.1,15.6
Wolkersdorf,Wolkersdorf,48.4,16.5
Wördern,Wördern,48.3,16.2
Ybbs an der Donau,Ybbs an der Donau,48.2,15.1
Zistersdorf,Zistersdorf,48.5,16.8
Zwettl Stift,Zwettl Stift,48.6,15.2
