<SIZE>43
<LANG>EN,DE
<STATE>Oberösterreich,OO
Altmünster,Altmünster,47.9,13.8
Ansfelden,Ansfelden,48.2,14.3
Asten,Asten,48.2,14.4
Bad Goisern,Bad Goisern,47.6,13.6
Bad Hall,Bad Hall,48,14.2
Bad Ischl,Bad Ischl,47.7,13.6
Braunau am Inn,Braunau am Inn,48.3,13
Ebensee,Ebensee,47.8,13.8
Engerwitzdorf,Engerwitzdorf,48.3,14.5
Enns,Enns,48.2,14.5
Feldkirchen an der Donau,Feldkirchen an der Donau,48.3,14.1
Frankenburg,Frankenburg,48.1,13.5
Freistadt,Freistadt,48.5,14.5
Gallneukirchen,Gallneukirchen,48.3,14.4
Garsten,Garsten,48,14.4
Gmunden,Gmunden,47.9,13.8
Grieskirchen,Grieskirchen,48.2,13.8
Hörsching,Hörsching,48.2,14.2
Kremsmünster,Kremsmünster,48.1,14.1
Laakirchen,Laakirchen,48,13.8
Lenzing,Lenzing,48,13.6
Leonding,Leonding,48.3,14.3
Linz,Linz,48.3,14.3
Marchtrenk,Marchtrenk,48.2,14.1
Micheldorf in Oberösterreich,Micheldorf in Oberösterreich,47.9,14.1
Pasching,Pasching,48.3,14.2
Perg,Perg,48.3,14.6
Ried im Innkreis,Ried im Innkreis,48.2,13.5
Sankt Florian,Sankt Florian,48.2,13.1
Sankt Georgen im Attergau,Sankt Georgen im Attergau,47.9,13.5
Scharnstein,Scharnstein,47.9,14
Schärding,Schärding,48.5,13.4
Seewalchen,Seewalchen,48,13.6
Sierning,Sierning,48,14.3
Steyr,Steyr,48.1,14.4
Steyregg,Steyregg,48.3,14.4
Timelkam,Timelkam,48,13.6
Traun,Traun,48.2,14.2
Vorchdorf,Vorchdorf,48,13.9
Vöcklabruck,Vöcklabruck,48,13.7
Vöcklamarkt,Vöcklamarkt,48,13.5
Waldzell,Waldzell,48.1,13.4
Wels,Wels,48.2,14
