<SIZE>28
<LANG>EN,DE
<STATE>Steiermark,ST
Bad Aussee,Bad Aussee,47.6,13.8
Bruck an der Mur,Bruck an der Mur,47.4,15.3
Bärnbach,Bärnbach,47,15.9
Deutschlandsberg,Deutschlandsberg,46.8,15.2
Eisenerz,Eisenerz,47.5,14.9
Feldbach,Feldbach,47,15.9
Fohnsdorf,Fohnsdorf,47.2,14.7
Frohnleiten,Frohnleiten,47.3,15.3
Fürstenfeld,Fürstenfeld,47.1,16.1
Gleisdorf,Gleisdorf,47.1,15.7
Gratkorn,Gratkorn,47.1,15.4
Graz,Graz,47.1,15.5
Judenburg,Judenburg,47.2,14.7
Kapfenberg,Kapfenberg,47.4,15.3
Kindberg,Kindberg,47.5,15.5
Knittelfeld,Knittelfeld,47.2,14.8
Krieglach,Krieglach,47.5,15.6
Köflach,Köflach,47.1,15.1
Leibnitz,Leibnitz,46.8,15.5
Leoben,Leoben,47.4,15.1
Liezen,Liezen,47.6,14.2
Mürzzuschlag,Mürzzuschlag,47.6,15.7
Rottenmann,Rottenmann,47.5,14.4
Schladming,Schladming,47.4,13.7
Trofaiach,Trofaiach,47.4,15
Voitsberg,Voitsberg,47,15.2
Weiz,Weiz,47.2,15.6
Zeltweg,Zeltweg,47.2,14.8
