<SIZE>21
<LANG>EN,DE
<STATE>Salzburg,SZ
Abtenau,Abtenau,47.6,13.4
Anif,Anif,47.8,13.1
Bad Hofgastein,Bad Hofgastein,47.2,13.1
Badgastein,Badgastein,47.1,13.1
Bergheim,Bergheim,47.8,13
Bischofshofen,Bischofshofen,47.4,13.2
Bruck an der Großglocknerstraße,Bruck an der Großglocknerstraße,47.3,12.8
Grödig,Grödig,47.7,13
Hallein,Hallein,47.7,13.1
Kuchl,Kuchl,47.6,13.2
Mittersill,Mittersill,47.3,12.5
Radstadt,Radstadt,47.4,13.5
Saalbach,Saalbach,47.4,12.6
Saalfelden am Steinernen Meer,Saalfelden am Steinernen Meer,47.4,12.9
Salzburg,Salzburg,47.8,13
Sankt Johann im Pongau,Sankt Johann im Pongau,47.3,13.2
Seekirchen Markt,Seekirchen Markt,47.9,13.1
Strasswalchen,Strasswalchen,48,13.3
Tamsweg,Tamsweg,47.1,13.8
Thalgau,Thalgau,47.8,13.3
Zell am See,Zell am See,47.3,12.8
