<SIZE>22
<LANG>EN,DE
<STATE>Tirol,TR
Absam,Absam,47.3,11.5
Ebbs,Ebbs,47.6,12.2
Fügen,Fügen,47.3,11.9
Hopfgarten im Brixental,Hopfgarten im Brixental,47.5,12.2
Imst,Imst,47.2,10.7
Innsbruck,Innsbruck,47.3,11.4
Jenbach,Jenbach,47.4,11.8
Kirchbichl,Kirchbichl,47.5,12.1
Kitzbühel,Kitzbühel,47.5,12.4
Kufstein,Kufstein,47.6,12.2
Landeck,Landeck,47.1,10.6
Lienz,Lienz,46.8,12.8
Matrei in Osttirol,Matrei in Osttirol,47,12.5
Reutte,Reutte in Tirol,47.5,10.7
Rum,Rum,47.3,11.5
Schwaz,Schwaz,47.3,11.7
Telfs,Telfs,47.3,11.1
Vomp,Vomp,47.3,11.7
Völs,Völs,47.3,11.3
Wattens,Wattens,47.3,11.6
Wörgl,Wörgl,47.5,12.1
Zirl,Zirl,47.3,11.2
