<SIZE>19
<LANG>EN,DE
<STATE>Vorarlberg,VO
Altach,Altach,47.3,9.6
Bludenz,Bludenz,47.1,9.8
Bregenz,Bregenz,47.5,9.8
Bürs,Bürs,47.1,9.8
Dornbirn,Dornbirn,47.4,9.7
Feldkirch,Feldkirch,47.2,9.6
Götzis,Götzis,47.3,9.6
Hard,Hard,47.5,9.7
Hohenems,Hohenems,47.4,9.7
Höchst,Höchst,47.5,9.6
Hörbranz,Hörbranz,47.6,9.8
Lochau,Lochau,47.5,9.8
Lustenau,Lustenau,47.4,9.6
Mittelberg,Mittelberg,47.2,9.6
Nenzing,Nenzing,47.2,9.7
Nüziders,Nüziders,47.2,9.8
Rankweil,Rankweil,47.3,9.6
Schruns,Schruns,47.1,9.9
Wolfurt,Wolfurt,47.5,9.8
