<SIZE>44
<LANG>EN
<STATE>Queensland,QLD
Atherton,-17.2667,145.483
Ayr,-19.5833,147.4
Biloela,-24.4167,150.5
Blackwater,-23.5833,148.883
Bongaree,-27.0797,153.159
Bowen,-20.0167,148.233
Brisbane,-27.4679,153.028
Buderim,-26.6833,153.05
Bundaberg,-24.85,152.35
Burpengary,-27.1667,152.95
Caboolture,-27.0833,152.95
Cairns,-16.9167,145.767
Caloundra,-26.8,153.133
Charters Towers,-20.1,146.267
Cleveland,-27.5333,153.267
Coolum Beach,-26.5333,153.1
Dalby,-27.1833,151.267
Deception Bay,-27.2,153.033
Emerald,-23.5333,148.167
Gatton,-27.55,152.283
Gladstone,-23.85,151.25
Gympie,-26.1833,152.667
Ingham,-18.65,146.167
Innisfail,-17.5333,146.033
Kingaroy,-26.5333,151.833
Mackay,-21.15,149.2
Mareeba,-17,145.433
Margate,-27.25,153.117
Maryborough,-25.5333,152.7
Mooloolaba,-26.6833,153.117
Moranbah,-22.0016,148.047
Morayfield,-27.1167,152.95
Mount Isa,-20.7333,139.5
Nambour,-26.6333,152.95
Nerang,-27.9833,153.333
Noosa Heads,-26.3833,153.15
Rockhampton,-23.3833,150.5
Roma,-26.5833,148.783
Toowoomba,-27.55,151.967
Torquay,-25.2833,152.867
Townsville,-19.25,146.8
Victoria Point,-27.5833,153.3
Warwick,-28.2333,152.017
Yeppoon,-23.1333,150.733
