<SIZE>47
<LANG>EN
<STATE>Victoria,VIC
Ararat,-37.2833,142.933
Bacchus Marsh,-37.6833,144.45
Bairnsdale,-37.8333,147.617
Ballarat,-37.5667,143.85
Benalla,-36.55,145.983
Bendigo,-36.7667,144.283
Blairgowrie,-38.3613,144.78
Brunswick,-37.7667,144.967
Castlemaine,-37.0667,144.217
Clifton Springs,-38.15,144.567
Colac,-38.3333,143.583
Craigieburn,-37.6,144.95
Cranbourne,-38.1,145.283
Echuca,-36.1333,144.75
Geelong West,-38.1333,144.35
Hamilton,-37.75,142.033
Hastings,-38.3,145.183
Healesville,-37.65,145.517
Heyfield,-37.9813,146.786
Horsham,-36.7167,142.2
Kyabram,-36.3167,145.05
Lakes Entrance,-37.8833,147.983
Lara,-38.0167,144.4
Leopold,-38.1833,144.467
Maryborough,-37.05,143.75
Melbourne,-37.814,144.963
Melton,-37.6833,144.583
Mildura,-34.2,142.15
Moe,-38.1667,146.267
Morwell,-38.2333,146.4
Murrayville,-35.2667,141.183
North Wonthaggi,-38.6,145.6
Ouyen,-35.0667,142.317
Portland,-38.3333,141.6
Sale,-38.1,147.067
Shepparton,-36.3833,145.4
Somerville,-38.2167,145.167
Stawell,-37.05,142.767
Sunbury,-37.5833,144.733
Swan Hill,-35.35,143.567
Tinamba,-37.9625,146.891
Traralgon,-38.1833,146.533
Wangaratta,-36.3667,146.333
Warragul,-38.1667,145.933
Warrnambool,-38.3833,142.483
Wodonga,-36.1167,146.883
Yarrawonga,-36.0167,146
