<SIZE>69
<LANG>EN,FR,DE
<STATE>Antwerpen,VAN
Aartselaar,Aartselaar,Aartselaar,51.1,4.4
Antwerp,Anvers,Antwerpen,51.2,4.4
Arendonk,Arendonk,Arendonk,51.3,5.1
Baarle-Hertog,Baerle-Duc,Baarle-Hertog,51.5,4.9
Balen,Balen,Balen,51.2,5.2
Beerse,Beerse,Beerse,51.3,4.9
Berlaar,Berlaar,Berlaar,51.1,4.7
Boechout,Boechout,Boechout,51.2,4.5
Bonheiden,Bonheiden,Bonheiden,51,4.5
Boom,Boom,Boom,51.1,4.4
Bornem,Bornem,Bornem,51.1,4.2
Borsbeek,Borsbeek,Borsbeek,51.2,4.5
Brasschaat,Brasschaat,Brasschaat,51.3,4.4
Brecht,Brecht,Brecht,51.4,4.6
Dessel,Dessel,Dessel,51.2,5.1
Duffel,Duffel,Duffel,51.1,4.5
Edegem,Edegem,Edegem,51.2,4.4
Essen,Essen,Essen,51.5,4.5
Geel,Geel,Geel,51.2,5
Grobbendonk,Grobbendonk,Grobbendonk,51.2,4.7
Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,51.1,4.7
Hemiksem,Hemiksem,Hemiksem,51.2,4.4
Herentals,Herentals,Herentals,51.2,4.8
Herenthout,Herenthout,Herenthout,51.2,4.8
Herselt,Herselt,Herselt,51.1,4.9
Hoboken,Hoboken,Hoboken,51.2,4.4
Hoogstraten,Hoogstraten,Hoogstraten,51.4,4.8
Hove,Hove,Hove,51.2,4.5
Hulshout,Hulshout,Hulshout,51.1,4.8
Kalmthout,Kalmthout,Kalmthout,51.4,4.5
Kapellen,Kapellen,Kapellen,51.3,4.4
Kasterlee,Kasterlee,Kasterlee,51.3,4.9
Kontich,Kontich,Kontich,51.1,4.4
Lille,Lille,Lille,51.2,4.8
Lint,Lint,Lint,51.1,4.5
Mechelen,Malines,Mecheln,51,4.5
Meerhout,Meerhout,Meerhout,51.1,5.1
Merksplas,Merksplas,Merksplas,51.4,4.9
Mol,Mol,Mol,51.2,5.1
Mortsel,Mortsel,Mortsel,51.2,4.5
Niel,Niel,Niel,51.1,4.3
Nijlen,Nijlen,Nijlen,51.2,4.7
Olen,Olen,Olen,51.2,4.9
Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,51.3,5
Putte,Putte,Putte,51.1,4.6
Puurs,Puurs,Puurs,51.1,4.3
Ranst,Ranst,Ranst,51.2,4.6
Ravels,Ravels,Ravels,51.4,5
Retie,Retie,Retie,51.3,5.1
Rijkevorsel,Rijkevorsel,Rijkevorsel,51.4,4.8
Rumst,Rumst,Rumst,51.1,4.4
Schelle,Schelle,Schelle,51.1,4.3
Schilde,Schilde,Schilde,51.2,4.6
Schoten,Schoten,Schoten,51.3,4.5
Sint-Amands,Sint-Amands,Sint-Amands,51.1,4.2
Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,51.1,4.5
Stabroek,Stabroek,Stabroek,51.3,4.4
Turnhout,Turnhout,Turnhout,51.3,4.9
Vorselaar,Vorselaar,Vorselaar,51.2,4.8
Vosselaar,Vosselaar,Vosselaar,51.3,4.9
Walcourt,Walcourt,Walcourt,50.3,4.4
Westerlo,Westerlo,Westerlo,51.1,4.9
Wijnegem,Wijnegem,Wijnegem,51.2,4.5
Willebroek,Willebroek,Willebroek,51.1,4.4
Wommelgem,Wommelgem,Wommelgem,51.2,4.5
Wuustwezel,Wuustwezel,Wuustwezel,51.4,4.6
Zandhoven,Zandhoven,Zandhoven,51.2,4.7
Zoersel,Zoersel,Zoersel,51.3,4.7
Zwijndrecht,Zwijndrecht,Zwijndrecht,51.2,4.3
