<SIZE>36
<LANG>EN,FR,DE
<STATE>Limburg,VLI
Alken,Alken,Alken,50.9,5.3
As,As,As,51,5.6
Beringen,Beringen,Beringen,51.1,5.2
Bilzen,Bilzen,Bilzen,50.9,5.5
Bocholt,Bocholt,Bocholt,51.2,5.6
Borgloon,Looz,Borgloon,50.8,5.3
Bree,Bree,Bree,51.1,5.6
Diepenbeek,Diepenbeek,Diepenbeek,50.9,5.4
Genk,Genk,Genk,51,5.5
Gingelom,Gingelom,Gingelom,50.8,5.1
Halen,Halen,Halen,51,5.1
Hasselt,Hasselt,Hasselt,50.9,5.3
Heers,Heers,Heers,50.8,5.3
Herk-de-Stad,Herck-la-Ville,Herk-de-Stad,50.9,5.2
Hoeselt,Hoeselt,Hoeselt,50.8,5.5
Kinrooi,Kinrooi,Kinrooi,51.2,5.8
Kortessem,Kortessem,Kortessem,50.9,5.4
Lanaken,Lanaken,Lanaken,50.9,5.7
Leopoldsburg,Bourg-Léopold,Leopoldsburg,51.1,5.3
Lommel,Lommel,Lommel,51.2,5.3
Lummen,Lummen,Lummen,51,5.2
Maaseik,Maaseik,Maaseik,51.1,5.8
Maasmechelen,Maasmechelen,Maasmechelen,50.8,5.7
Neerpelt,Neerpelt,Neerpelt,51.2,5.4
Nieuwerkerken,Nieuwerkerken,Nieuwerkerken,50.9,5.2
Opglabbeek,Opglabbeek,Opglabbeek,51.1,5.6
Overpelt,Overpelt,Overpelt,51.2,5.4
Peer,Peer,Peer,51.1,5.5
Riemst,Riemst,Riemst,50.8,5.6
Sint-Pieters-Voeren,Fouron-Saint-Pierre,Sint-Pieters-Voeren,50.7,5.8
Sint-Truiden,Saint-Trond,Sint-Truiden,50.8,5.2
Tessenderlo,Tessenderlo,Tessenderlo,51.1,5.1
Tongeren,Tongres,Tongeren,50.8,5.5
Wellen,Wellen,Wellen,50.8,5.3
Zonhoven,Zonhoven,Zonhoven,51,5.4
Zutendaal,Zutendaal,Zutendaal,50.9,5.6
