<SIZE>59
<LANG>EN,FR,DE
<STATE>Oost-Vlaanderen,VOV
Aalst,Aalst,Aalst,50.9,4
Aalter,Aalter,Aalter,51.1,3.5
Assenede,Assenede,Assenede,51.2,3.8
Berlare,Berlare,Berlare,51,4
Beveren,Beveren,Beveren,51.2,4.3
Buggenhout,Buggenhout,Buggenhout,51,4.2
De Pinte,De Pinte,De Pinte,51,3.7
Deinze,Deinze,Deinze,51,3.5
Denderleeuw,Denderleeuw,Denderleeuw,50.9,4.1
Dendermonde,Termonde,Dendermonde,51,4.1
Destelbergen,Destelbergen,Destelbergen,51.1,3.8
Eeklo,Eeklo,Eeklo,51.2,3.6
Evergem,Evergem,Evergem,51.1,3.7
Gavere,Gavere,Gavere,50.9,3.7
Ghent,Gand,Gent,51.1,3.7
Geraardsbergen,Geraardsbergen,Geraardsbergen,50.8,3.9
Haaltert,Haaltert,Haaltert,50.9,4
Hamme,Hamme,Hamme,51.1,4.1
Herzele,Herzele,Herzele,50.9,3.9
Kaprijke,Kaprijke,Kaprijke,51.2,3.6
Knesselare,Knesselare,Knesselare,51.1,3.4
Kruibeke,Kruibeke,Kruibeke,51.2,4.3
Kruishoutem,Kruishoutem,Kruishoutem,50.9,3.5
Laarne,Laarne,Laarne,51,3.9
Lebbeke,Lebbeke,Lebbeke,51,4.1
Lede,Lede,Lede,51,4
Lochristi,Lochristi,Lochristi,51.1,3.8
Lokeren,Lokeren,Lokeren,51.1,4
Lovendegem,Lovendegem,Lovendegem,51.1,3.6
Maldegem,Maldegem,Maldegem,51.2,3.5
Melle,Melle,Melle,51,3.8
Merelbeke,Merelbeke,Merelbeke,51,3.8
Moerbeke,Moerbeke,Moerbeke,51.2,3.9
Nazareth,Nazareth,Nazareth,51,3.6
Nevele,Nevele,Nevele,51,3.6
Ninove,Ninove,Ninove,50.8,4
Oosterzele,Oosterzele,Oosterzele,51,3.8
Oudenaarde,Audenarde,Oudenaarde,50.8,3.6
Perre,Perre,Perre,50.9,3.9
Ronse,Ronse,Ronse,50.8,3.6
Sint-Gillis-Waas,Sint-Gillis-Waas,Sint-Gillis-Waas,51.2,4.1
Sint-Laureins,Sint-Laureins,Sint-Laureins,51.3,3.5
Sint-Lievens-Houtem,Sint-Lievens-Houtem,Sint-Lievens-Houtem,50.9,3.9
Sint-Maria-Lierde,Sint-Maria-Lierde,Sint-Maria-Lierde,50.8,3.9
Sint-Martens-Latem,Sint-Martens-Latem,Sint-Martens-Latem,51,3.6
Sint-Niklaas,Saint-Nicolas,Sint-Niklaas,51.2,4.1
Stekene,Stekene,Stekene,51.2,4
Temse,Temse,Temse,51.1,4.2
Waarschoot,Waarschoot,Waarschoot,51.2,3.6
Waasmunster,Waasmunster,Waasmunster,51.1,4.1
Wachtebeke,Wachtebeke,Wachtebeke,51.2,3.9
Wetteren,Wetteren,Wetteren,51,3.9
Wichelen,Wichelen,Wichelen,51,4
Zele,Zele,Zele,51.1,4
Zelzate,Zelzate,Zelzate,51.2,3.8
Zingem,Zingem,Zingem,50.9,3.7
Zomergem,Zomergem,Zomergem,51.1,3.6
Zottegem,Zottegem,Zottegem,50.9,3.8
Zulte,Zulte,Zulte,50.9,3.4
