<SIZE>58
<LANG>EN,FR,DE
<STATE>West-Vlaanderen,VWV
Alveringem,Alveringem,Alveringem,51,2.7
Anzegem,Anzegem,Anzegem,50.8,3.5
Ardooie,Ardooie,Ardooie,51,3.2
Avelgem,Avelgem,Avelgem,50.8,3.4
Beernem,Beernem,Beernem,51.2,3.3
Blankenberge,Blankenberge,Blankenberge,51.3,3.1
Bredene,Bredene,Bredene,51.2,3
Bruges,Bruges,Brügge,51.2,3.2
Damme,Damme,Damme,51.3,3.3
De Haan,De Haan,De Haan,51.3,3
De Panne,La Panne,De Panne,51.1,2.6
Deerlijk,Deerlijk,Deerlijk,50.8,3.4
Dentergem,Dentergem,Dentergem,51,3.4
Diksmuide,Dixmude,Diksmuide,51,2.9
Gistel,Gistel,Gistel,51.2,3
Harelbeke,Harelbeke,Harelbeke,50.8,3.3
Hooglede,Hooglede,Hooglede,51,3.1
Houthulst,Houthulst,Houthulst,51,3
Ichtegem,Ichtegem,Ichtegem,51.1,3
Ypres,Ypres,Ypern,50.8,2.9
Ingelmunster,Ingelmunster,Ingelmunster,50.9,3.3
Izegem,Izegem,Izegem,50.9,3.2
Jabbeke,Jabbeke,Jabbeke,51.2,3.1
Knokke-Heist,Knokke-Heist,Knokke-Heist,51.4,3.3
Koekelare,Koekelare,Koekelare,51.1,3
Koksijde,Coxyde,Koksijde,51.1,2.7
Kortemark,Kortemark,Kortemark,51,3
Kortrijk,Courtrai,Kortrijk,50.8,3.3
Kuurne,Kuurne,Kuurne,50.8,3.3
Ledegem,Ledegem,Ledegem,50.8,3.1
Lendelede,Lendelede,Lendelede,50.9,3.2
Lichtervelde,Lichtervelde,Lichtervelde,51,3.2
Menen,Menin,Menen,50.8,3.1
Meulebeke,Meulebeke,Meulebeke,51,3.3
Middelkerke,Middelkerke,Middelkerke,51.2,2.8
Moorslede,Moorslede,Moorslede,50.9,3.1
Nieuwpoort,Nieuport,Nieuwpoort,51.1,2.8
Ostend,Ostende,Ostende,51.2,2.9
Oostkamp,Oostkamp,Oostkamp,51.2,3.2
Oostrozebeke,Oostrozebeke,Oostrozebeke,50.9,3.3
Oudenburg,Oudenburg,Oudenburg,51.2,3
Pittem,Pittem,Pittem,51,3.3
Poperinge,Poperinge,Poperinge,50.8,2.7
Roeselare,Roulers,Roeselare,51,3.1
Ruiselede,Ruiselede,Ruiselede,51.1,3.4
Staden,Staden,Staden,51,3
Tielt,Tielt,Tielt,51,3.3
Torhout,Torhout,Torhout,51.1,3.1
Veurne,Veurne,Veurne,51.1,2.7
Waregem,Waregem,Waregem,50.9,3.4
Wervik,Wervik,Wervik,50.8,3
Wevelgem,Wevelgem,Wevelgem,50.8,3.2
Wielsbeke,Wielsbeke,Wielsbeke,50.9,3.4
Wingene,Wingene,Wingene,51.1,3.3
Zedelgem,Zedelgem,Zedelgem,51.2,3.1
Zonnebeke,Zonnebeke,Zonnebeke,50.9,3
Zuienkerke,Zuienkerke,Zuienkerke,51.3,3.2
Zwevegem,Zwevegem,Zwevegem,50.8,3.3
