<SIZE>60
<LANG>EN,FR,DE
<STATE>Province du Hainaut,WHT
Aiseau,Aiseau,Aiseau,50.4,4.6
Anderlues,Anderlues,Anderlues,50.4,4.3
Antoing,Antoing,Antoing,50.6,3.5
Ath,Ath,Ath,50.6,3.8
Beaumont,Beaumont,Beaumont,50.2,4.2
Beloeil,Belœil,Belœil,50.6,3.7
Bernissart,Bernissart,Bernissart,50.5,3.6
Binche,Binche,Binche,50.4,4.2
Boussu,Boussu,Boussu,50.4,3.8
Braine-le-Comte,Braine-le-Comte,Braine-le-Comte,50.6,4.1
Brugelette,Brugelette,Brugelette,50.6,3.9
Brunehault,Brunehault,Brunehault,50.5,4.4
Celles,Celles,Celles,50.7,3.5
Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,50.5,4.3
Charleroi,Charleroi,Charleroi,50.4,4.4
Chimay,Chimay,Chimay,50.1,4.3
Chièvres,Chièvres,Chièvres,50.6,3.8
Châtelet,Châtelet,Châtelet,50.4,4.5
Colfontaine,Colfontaine,Colfontaine,50.4,3.9
Courcelles,Courcelles,Courcelles,50.5,4.4
Dour,Dour,Dour,50.4,3.8
Ellezelles,Ellezelles,Ellezelles,50.7,3.7
Enghien,Enghien,Enghien,50.7,4
Erquelinnes,Erquelinnes,Erquelinnes,50.3,4.1
Estaimpuis,Estaimpuis,Estaimpuis,50.7,3.3
Estinnes-au-Val,Estinnes-au-Val,Estinnes-au-Val,50.4,4.1
Farciennes,Farciennes,Farciennes,50.4,4.6
Fleurus,Fleurus,Fleurus,50.5,4.5
Flobecq,Flobecq,Flobecq,50.7,3.7
Frameries,Frameries,Frameries,50.4,3.9
Frasnes-lez-Buissenal,Frasnes-lez-Buissenal,Frasnes-lez-Buissenal,50.7,3.6
Froid-Chapelle,Froid-Chapelle,Froid-Chapelle,50.2,4.3
Gerpinnes,Gerpinnes,Gerpinnes,50.3,4.5
Hensies,Hensies,Hensies,50.4,3.7
Jurbise,Jurbise,Jurbise,50.5,3.9
La Louvière,La Louvière,La Louvière,50.5,4.2
Lens,Lens,Lens,50.6,3.9
Lessines,Lessines,Lessines,50.7,3.8
Lobbes,Lobbes,Lobbes,50.3,4.3
Manage,Manage,Manage,50.5,4.2
Merbes-le-Château,Merbes-le-Château,Merbes-le-Château,50.3,4.2
Momignies,Momignies,Momignies,50,4.2
Mons,Mons,Mons,50.5,3.9
Morlanwelz-Mariemont,Morlanwelz-Mariemont,Morlanwelz-Mariemont,50.5,4.2
Mouscron,Mouscron,Mouscron,50.7,3.2
Pecq,Pecq,Pecq,50.7,3.3
Pont-à-Celles,Pont-à-Celles,Pont-à-Celles,50.5,4.4
Péruwelz,Péruwelz,Péruwelz,50.5,3.6
Quaregnon,Quaregnon,Quaregnon,50.4,3.9
Quiévrain,Quiévrain,Quiévrain,50.4,3.7
Quévy-le-Petit,Quévy-le-Petit,Quévy-le-Petit,50.4,3.9
Roeulx,Roeulx,Roeulx,50.5,4.1
Rumes,Rumes,Rumes,50.6,3.3
Saint-Ghislain,Saint-Ghislain,Saint-Ghislain,50.5,3.8
Seneffe,Seneffe,Seneffe,50.5,4.3
Silly,Silly,Silly,50.7,3.9
Soignies,Soignies,Soignies,50.6,4.1
Thuin,Thuin,Thuin,50.3,4.3
Tournai,Tournai,Tournai,50.6,3.4
Écaussinnes-d'Enghien,Écaussinnes-d'Enghien,Écaussinnes-d'Enghien,50.6,4.2
