<SIZE>79
<LANG>EN,FR,DE
<STATE>Province de Liège,WKG
Amay,Amay,Amay,50.6,5.3
Amel,Amblève,Amel,50.3,6.2
Ans,Ans,Ans,50.7,5.5
Anthisnes,Anthisnes,Anthisnes,50.5,5.5
Aubel,Aubel,Aubel,50.7,5.9
Awans,Awans,Awans,50.7,5.5
Aywaille,Aywaille,Aywaille,50.5,5.7
Baelen,Baelen,Baelen,50.6,6
Bassenge,Bassenge,Bassenge,50.8,5.6
Berloz,Berloz,Berloz,50.7,5.2
Beyne-Heusay,Beyne-Heusay,Beyne-Heusay,50.6,5.7
Blegny,Blegny,Blegny,50.7,5.7
Braives,Braives,Braives,50.6,5.2
Büllingen,Bullange,Büllingen,50.4,6.3
Burdinne,Burdinne,Burdinne,50.6,5.1
Butgenbach,Butgenbach,Butgenbach,50.4,6.2
Chaudfontaine,Chaudfontaine,Chaudfontaine,50.6,5.6
Clavier,Clavier,Clavier,50.4,5.4
Comblain-au-Pont,Comblain-au-Pont,Comblain-au-Pont,50.5,5.6
Crisnée,Crisnée,Crisnée,50.7,5.4
Dalhem,Dalhem,Dalhem,50.7,5.7
Dison,Dison,Dison,50.6,5.9
Donceel,Donceel,Donceel,50.7,5.3
Engis,Engis,Engis,50.6,5.4
Esneux,Esneux,Esneux,50.5,5.6
Eupen,Eupen,Eupen,50.6,6
Faimes,Faimes,Faimes,50.7,5.3
Ferrières,Ferrières,Ferrières,50.4,5.6
Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,50.7,5.4
Flémalle-Haute,Flémalle-Haute,Flémalle-Haute,50.6,5.5
Fléron,Fléron,Fléron,50.6,5.7
Geer,Geer,Geer,50.7,5.2
Hamoir,Hamoir,Hamoir,50.4,5.5
Hannut,Hannut,Hannut,50.7,5.1
Herstal,Herstal,Herstal,50.7,5.6
Herve,Herve,Herve,50.6,5.8
Huy,Huy,Huy,50.5,5.2
Héron,Héron,Héron,50.6,5.1
Jalhay,Jalhay,Jalhay,50.6,6
Juprelle,Juprelle,Juprelle,50.7,5.5
La Calamine,La Calamine,La Calamine,50.7,6
Lierneux,Lierneux,Lierneux,50.3,5.8
Limbourg,Limbourg,Limbourg,50.6,5.9
Lincent,Lincent,Lincent,50.7,5
Liège,Liège,Lüttich,50.6,5.6
Lontzen,Lontzen,Lontzen,50.7,6
Malmedy,Malmedy,Malmedy,50.4,6
Marchin,Marchin,Marchin,50.5,5.2
Modave,Modave,Modave,50.5,5.3
Nandrin,Nandrin,Nandrin,50.5,5.4
Olne,Olne,Olne,50.6,5.8
Oreye,Oreye,Oreye,50.7,5.4
Ouffet,Ouffet,Ouffet,50.4,5.5
Oupeye,Oupeye,Oupeye,50.7,5.7
Pepinster,Pepinster,Pepinster,50.6,5.8
Plombières,Plombières,Plombières,50.7,5.9
Raeren,Raeren,Raeren,50.7,6.1
Remicourt,Remicourt,Remicourt,50.7,5.3
Saint-Nicolas,Saint-Nicolas,Saint-Nicolas,50.6,5.5
Sankt Vith,Saint-Vith,Sankt Vith,50.3,6.1
Seraing,Seraing,Seraing,50.6,5.5
Soumagne,Soumagne,Soumagne,50.6,5.8
Spa,Spa,Spa,50.5,5.9
Sprimont,Sprimont,Sprimont,50.5,5.7
Stavelot,Stavelot,Stavelot,50.4,5.9
Stoumont,Stoumont,Stoumont,50.4,5.8
Theux,Theux,Theux,50.5,5.8
Tinlot,Tinlot,Tinlot,50.5,5.4
Trois Ponts,Trois Ponts,Trois Ponts,50.4,5.9
Trooz,Trooz,Trooz,50.6,5.7
Verlaine,Verlaine,Verlaine,50.6,5.3
Verviers,Verviers,Verviers,50.6,5.9
Villers-le-Bouillet,Villers-le-Bouillet,Villers-le-Bouillet,50.6,5.3
Visé,Visé,Visé,50.7,5.7
Waimes,Waimes,Waimes,50.4,6.1
Wanze,Wanze,Wanze,50.5,5.2
Waremme,Waremme,Waremme,50.7,5.3
Wasseiges,Wasseiges,Wasseiges,50.6,5
Welkenraedt,Welkenraedt,Welkenraedt,50.7,6
