<SIZE>43
<LANG>EN,FR,DE
<STATE>Province du Luxembourg,WLX
Arlon,Arlon,Arlon,49.7,5.8
Attert,Attert,Attert,49.8,5.8
Aubange,Aubange,Aubange,49.6,5.8
Bastogne,Bastogne,Bastogne,50,5.7
Bertogne,Bertogne,Bertogne,50.1,5.7
Bertrix,Bertrix,Bertrix,49.8,5.3
Bouillon,Bouillon,Bouillon,49.8,5.1
Chiny,Chiny,Chiny,49.7,5.3
Daverdisse,Daverdisse,Daverdisse,50,5.1
Durbuy,Durbuy,Durbuy,50.3,5.5
Fauvillers,Fauvillers,Fauvillers,49.8,5.7
Florenville,Florenville,Florenville,49.7,5.3
Gouvy,Gouvy,Gouvy,50.2,5.9
Habay-la-Vieille,Habay-la-Vieille,Habay-la-Vieille,49.7,5.6
Herbeumont,Herbeumont,Herbeumont,49.8,5.2
Hotton,Hotton,Hotton,50.3,5.4
Houffalize,Houffalize,Houffalize,50.1,5.8
La Roche-en-Ardenne,La Roche-en-Ardenne,La Roche-en-Ardenne,50.2,5.6
Libin,Libin,Libin,50,5.3
Léglise,Léglise,Léglise,49.8,5.5
Manhay,Manhay,Manhay,50.3,5.7
Marche-en-Famenne,Marche-en-Famenne,Marche-en-Famenne,50.2,5.3
Martelange,Martelange,Martelange,49.8,5.7
Meix-devant-Virton,Meix-devant-Virton,Meix-devant-Virton,49.6,5.5
Messancy,Messancy,Messancy,49.6,5.8
Musson,Musson,Musson,49.6,5.7
Nassogne,Nassogne,Nassogne,50.1,5.4
Neufchâteau,Neufchâteau,Neufchâteau,49.8,5.4
Paliseul,Paliseul,Paliseul,49.9,5.1
Rendeux,Rendeux,Rendeux,50.2,5.5
Rouvroy,Rouvroy,Rouvroy,49.5,5.5
Saint-Hubert,Saint-Hubert,Saint-Hubert,50,5.4
Saint-Léger,Saint-Léger,Saint-Léger,49.6,5.7
Sainte-Ode,Sainte-Ode,Sainte-Ode,50.1,5.5
Tellin,Tellin,Tellin,50.1,5.2
Tenneville,Tenneville,Tenneville,50.1,5.5
Tintigny,Tintigny,Tintigny,49.7,5.5
Vaux-sur-Sûre,Vaux-sur-Sûre,Vaux-sur-Sûre,49.9,5.6
Vielsalm,Vielsalm,Vielsalm,50.3,5.9
Virton,Virton,Virton,49.6,5.5
Wellin,Wellin,Wellin,50.1,5.1
Érezée,Érezée,Érezée,50.3,5.6
Étalle,Étalle,Étalle,49.7,5.6
