<SIZE>32
<LANG>EN,FR,DE
<STATE>Province de Namur,WNA
Andenne,Andenne,Andenne,50.5,5.1
Anhée,Anhée,Anhée,50.3,4.9
Assesse,Assesse,Assesse,50.4,5
Beauraing,Beauraing,Beauraing,50.1,5
Bièvre,Bièvre,Bièvre,49.9,5
Cerfontaine,Cerfontaine,Cerfontaine,50.2,4.4
Ciney,Ciney,Ciney,50.3,5.1
Couvin,Couvin,Couvin,50.1,4.5
Dinant,Dinant,Dinant,50.3,4.9
Doische,Doische,Doische,50.1,4.8
Floreffe,Floreffe,Floreffe,50.4,4.8
Florennes,Florennes,Florennes,50.3,4.6
Fosse,Fosse,Fosse,50.4,4.7
Gedinne,Gedinne,Gedinne,50,4.9
Gembloux,Gembloux,Gembloux,50.6,4.7
Gesves,Gesves,Gesves,50.4,5.1
Hamois,Hamois,Hamois,50.3,5.1
Hastière-Lavaux,Hastière-Lavaux,Hastière-Lavaux,50.2,4.8
Havelange,Havelange,Havelange,50.4,5.2
Houyet,Houyet,Houyet,50.2,5
La Bruyère,La Bruyère,La Bruyère,50.4,4.6
Mettet,Mettet,Mettet,50.3,4.7
Namur,Namur,Namur,50.5,4.9
Ohey,Ohey,Ohey,50.4,5.1
Onhaye,Onhaye,Onhaye,50.3,4.8
Philippeville,Philippeville,Philippeville,50.2,4.5
Profondeville,Profondeville,Profondeville,50.4,4.9
Rochefort,Rochefort,Rochefort,50.2,5.2
Sombreffe,Sombreffe,Sombreffe,50.5,4.6
Somme-Leuze,Somme-Leuze,Somme-Leuze,50.3,5.4
Yvoir,Yvoir,Yvoir,50.3,4.9
Éghezée,Éghezée,Éghezée,50.6,4.9
