<SIZE>21
<LANG>EN
<STATE>Sofiya,SF
Anton,42.75,24.2833
Botevgrad,42.9,23.7833
Bozhurishte,42.75,23.2
Chavdar,42.65,24.05
Chelopech,42.7,24.0833
Dolna Banya,42.3,23.7667
Dragoman,42.9189,22.9317
Elin Pelin,42.6667,23.6
Etropole,42.8333,24
Godech,43.015,23.0442
Gorna Malina,42.6833,23.7
Ikhtiman,42.4333,23.8167
Koprivshtitsa,42.6333,24.35
Kostinbrod,42.8167,23.2167
Mirkovo,42.7,23.9833
Pirdop,42.7,24.1833
Pravets,42.8833,23.9167
Samokov,42.3333,23.55
Slivnitsa,42.85,23.0333
Svoge,42.9667,23.35
Zlatitsa,42.7167,24.1333
