<SIZE>79
<LANG>EN
<STATE>British Columbia,BC
Abbotsford,49.1,-122.3
Armstrong,50.4,-119.2
Ashcroft,50.7,-121.3
Burns Lake,54.2,-125.8
Cache Creek,50.8,-121.3
Campbell River,50,-125.2
Castlegar,49.3,-117.7
Chase,50.8,-119.7
Chetwynd,55.7,-121.6
Chilliwack,49.2,-121.9
Courtenay,49.7,-125
Cranbrook,49.5,-115.8
Creston,49.1,-116.5
Cumberland,49.6,-125
Dawson Creek,55.8,-120.2
Delta,49.1,-122.9
Duncan,48.8,-123.7
Elkford,50.1,-114.9
Enderby,50.5,-119.2
Fernie,49.5,-115.1
Fort St. John,56.2,-120.9
Fruitvale,49.1,-117.6
Gibsons,49.4,-123.5
Golden,51.3,-117
Grand Forks,49,-118.4
Hope,49.4,-121.4
Houston,54.4,-126.7
Invermere,50.5,-116
Kamloops,50.7,-120.3
Kelowna,49.9,-119.5
Kimberley,49.7,-116
Ladysmith,49,-123.8
Lake Cowichan,48.8,-124.1
Lions Bay,49.4,-123.2
Logan Lake,50.5,-120.8
Lumby,50.2,-119
Maple Ridge,49.2,-122.6
Merritt,50.1,-120.8
Nakusp,50.2,-117.8
Nanaimo,49.2,-123.9
Nelson,49.5,-117.3
New Westminster,49.2,-122.9
North Cowichan,48.8,-123.7
North Vancouver,49.3,-123.1
Oliver,49.2,-119.6
Osoyoos,49,-119.5
Parksville,49.3,-124.3
Peachland,49.8,-119.7
Pemberton,50.3,-122.8
Penticton,49.5,-119.6
Pitt Meadows,49.2,-122.7
Port Alberni,49.2,-124.8
Powell River,49.8,-124.5
Prince George,53.9,-122.8
Prince Rupert,54.3,-130.3
Princeton,49.5,-120.5
Quesnel,53,-122.5
Revelstoke,51,-118.2
Richmond,49.2,-123.1
Rossland,49.1,-117.8
Salmo,49.2,-117.3
Salmon Arm,50.7,-119.3
Sechelt,49.5,-123.8
Sicamous,50.8,-119
Smithers,54.8,-127.2
Sooke,48.4,-123.7
Summerland,49.6,-119.7
Terrace,54.5,-128.6
Tofino,49.2,-125.9
Trail,49.1,-117.7
Ucluelet,48.9,-125.6
Vancouver,49.2,-123.1
Vanderhoof,54,-124
Vernon,50.3,-119.3
Victoria,48.4,-123.4
West Kelowna,49.9,-119.6
Whistler Village,50.1,-123
White Rock,49,-122.8
Williams Lake,52.1,-122.1
