<SIZE>31
<LANG>EN
<STATE>Manitoba,MB
Altona,49.1,-97.6
Beausejour,50.1,-96.5
Boissevain,49.2,-100.1
Brandon,49.8,-100
Carberry,49.9,-99.4
Carman,49.5,-98
Dauphin,51.1,-100.1
Deloraine,49.2,-100.5
Flin Flon,54.8,-101.9
Gimli,50.6,-97
Killarney,49.2,-99.7
Lac du Bonnet,50.3,-96.1
Melita,49.3,-101
Minnedosa,50.2,-99.8
Morden,49.2,-98.1
Morris,49.4,-97.4
Neepawa,50.2,-99.5
Niverville,49.6,-97
Portage la Prairie,50,-98.3
Rivers,50,-100.2
Roblin,51.2,-101.4
Selkirk,50.1,-96.9
Souris,49.6,-100.3
Steinbach,49.5,-96.7
Stonewall,50.1,-97.3
Swan River,52.1,-101.3
The Pas,53.8,-101.3
Thompson,55.7,-97.9
Virden,49.9,-100.9
Winkler,49.2,-97.9
Winnipeg,49.9,-97.1
