<SIZE>29
<LANG>EN
<STATE>Newfoundland and Labrador,NL
Bay Roberts,47.6,-53.3
Bonavista,48.6,-53.1
Botwood,49.1,-55.3
Burgeo,47.6,-57.6
Carbonear,47.7,-53.2
Catalina,48.5,-53.1
Channel-Port aux Basques,47.6,-59.1
Churchill Falls,53.5,-64
Clarenville-Shoal Harbour,48.2,-54
Conception Bay South,47.5,-53
Corner Brook,49,-57.9
Deer Lake,49.2,-57.4
Gambo,48.8,-54.2
Grand Bank,47.1,-55.8
Grand Falls-Windsor,48.9,-55.7
Happy Valley-Goose Bay,53.3,-60.3
Harbour Breton,47.5,-55.8
Hopedale,55.5,-60.2
La Scie,50,-55.6
Labrador City,52.9,-66.9
Lewisporte,49.2,-55
Marystown,47.2,-55.1
Pasadena,49,-57.6
Seal Cove,49.9,-56.4
St. John's,47.6,-52.7
Stephenville,48.6,-58.6
Stephenville Crossing,48.5,-58.4
Torbay,47.7,-52.7
Wabana,47.6,-52.9
