<SIZE>48
<LANG>EN,FR,DE,IT
<STATE>Aargau,AG
Aarau,Aarau,Aarau,Aarau,47.4,8.1
Aarburg,Aarburg,Aarburg,Aarburg,47.3,7.9
Baden,Baden,Baden,Baden,47.5,8.3
Berikon,Berikon,Berikon,Berikon,47.3,8.4
Birr,Birr,Birr,Birr,47.4,8.2
Bremgarten,Bremgarten,Bremgarten,Bremgarten,47.4,8.3
Brittnau,Brittnau,Brittnau,Brittnau,47.3,7.9
Brugg,Brugg,Brugg,Brugg,47.5,8.2
Buchs,Buchs,Buchs,Buchs,47.4,8.1
Dottikon,Dottikon,Dottikon,Dottikon,47.4,8.2
Döttingen,Döttingen,Döttingen,Döttingen,47.6,8.3
Etzgen,Etzgen,Etzgen,Etzgen,47.6,8.1
Frick,Frick,Frick,Frick,47.5,8
Gebenstorf,Gebenstorf,Gebenstorf,Gebenstorf,47.5,8.2
Gipf-Oberfrick,Gipf-Oberfrick,Gipf-Oberfrick,Gipf-Oberfrick,47.5,8
Gontenschwil,Gontenschwil,Gontenschwil,Gontenschwil,47.3,8.1
Kaiseraugst,Kaiseraugst,Kaiseraugst,Kaiseraugst,47.5,7.7
Klingnau,Klingnau,Klingnau,Klingnau,47.6,8.3
Kölliken,Kölliken,Kölliken,Kölliken,47.3,8
Küttigen,Küttigen,Küttigen,Küttigen,47.4,8.1
Laufenburg,Laufenburg,Laufenburg,Laufenburg,47.6,8.1
Lenzburg,Lenzburg,Lenzburg,Lenzburg,47.4,8.2
Magden,Magden,Magden,Magden,47.5,7.8
Mellingen,Mellingen,Mellingen,Mellingen,47.4,8.3
Menziken,Menziken,Menziken,Menziken,47.3,8.2
Muhen,Muhen,Muhen,Muhen,47.3,8.1
Murgenthal,Murgenthal,Murgenthal,Murgenthal,47.3,7.8
Muri,Muri,Muri,Muri,47.3,8.3
Möhlin,Möhlin,Möhlin,Möhlin,47.6,7.9
Neuenhof,Neuenhof,Neuenhof,Neuenhof,47.5,8.3
Niederlenz,Niederlenz,Niederlenz,Niederlenz,47.4,8.2
Niederrohrdorf,Niederrohrdorf,Niederrohrdorf,Niederrohrdorf,47.4,8.3
Oberentfelden,Oberentfelden,Oberentfelden,Oberentfelden,47.3,8
Oberhofen bei Etzgen,Oberhofen bei Etzgen,Oberhofen bei Etzgen,Oberhofen bei Etzgen,47.6,8.1
Obersiggenthal,Obersiggenthal,Obersiggenthal,Obersiggenthal,47.5,8.3
Oftringen,Oftringen,Oftringen,Oftringen,47.3,7.9
Reinach,Reinach,Reinach,Reinach,47.3,8.2
Rheinfelden,Rheinfelden,Rheinfelden,Rheinfelden,47.6,7.8
Rohr,Rohr,Rohr,Rohr,47.4,8
Rothrist,Rothrist,Rothrist,Rothrist,47.3,7.9
Rudolfstetten,Rudolfstetten,Rudolfstetten,Rudolfstetten,47.4,8.4
Rupperswil,Rupperswil,Rupperswil,Rupperswil,47.4,8.1
Schinznach Bad,Schinznach Bad,Schinznach Bad,Schinznach Bad,47.4,8.2
Strengelbach,Strengelbach,Strengelbach,Strengelbach,47.3,7.9
Unterlunkhofen,Unterlunkhofen,Unterlunkhofen,Unterlunkhofen,47.3,8.4
Vordemwald,Vordemwald,Vordemwald,Vordemwald,47.3,7.9
Zofingen,Zofingen,Zofingen,Zofingen,47.3,7.9
Zurzach,Zurzach,Zurzach,Zurzach,47.6,8.3
