<SIZE>47
<LANG>EN,FR,DE,IT
<STATE>Bern,BE
Aarberg,Aarberg,Aarberg,Aarberg,47,7.3
Bellmund,Bellmund,Bellmund,Bellmund,47.1,7.2
Belp,Belp,Belp,Belp,46.9,7.5
Berne,Berne,Bern,Berna,46.9,7.4
Biel/Bienne,Bienne,Biel/Bienne,Bienna,47.1,7.2
Bolligen,Bolligen,Bolligen,Bolligen,47,7.5
Brienz,Brienz,Brienz,Brienz,46.8,8
Brügg,Brügg,Brügg,Brügg,47.1,7.3
Burgdorf,Berthoud,Burgdorf,Burgdorf,47.1,7.6
Bäriswil,Bäriswil,Bäriswil,Bäriswil,47,7.5
Ersigen,Ersigen,Ersigen,Ersigen,47.1,7.6
Fraubrunnen,Fraubrunnen,Fraubrunnen,Fraubrunnen,47.1,7.5
Frauenkappelen,Frauenkappelen,Frauenkappelen,Frauenkappelen,47,7.3
Gerzensee,Gerzensee,Gerzensee,Gerzensee,46.8,7.5
Gstaad,Gstaad,Gstaad,Gstaad,46.5,7.3
Heimiswil,Heimiswil,Heimiswil,Heimiswil,47.1,7.7
Hindelbank,Hindelbank,Hindelbank,Hindelbank,47,7.5
Jegenstorf,Jegenstorf,Jegenstorf,Jegenstorf,47,7.5
Kandersteg,Kandersteg,Kandersteg,Kandersteg,46.5,7.7
Kehrsatz,Kehrsatz,Kehrsatz,Kehrsatz,46.9,7.5
Kirchberg,Kirchberg,Kirchberg,Kirchberg,47.1,7.6
Kirchdorf,Kirchdorf,Kirchdorf,Kirchdorf,46.8,7.5
Konolfingen,Konolfingen,Konolfingen,Konolfingen,46.9,7.6
Krauchthal,Krauchthal,Krauchthal,Krauchthal,47,7.6
Köniz,Köniz,Köniz,Köniz,46.9,7.4
Laupen,Laupen,Laupen,Laupen,46.9,7.2
Lyss,Lyss,Lyss,Lyss,47.1,7.3
Lyssach,Lyssach,Lyssach,Lyssach,47.1,7.6
Muri bei Bern,Muri bei Bern,Muri bei Bern,Muri bei Bern,46.9,7.5
Mühleberg,Mühleberg,Mühleberg,Mühleberg,47,7.3
Mühlethurnen,Mühlethurnen,Mühlethurnen,Mühlethurnen,46.8,7.5
Münchenbuchsee,Münchenbuchsee,Münchenbuchsee,Münchenbuchsee,47,7.5
Münsingen,Münsingen,Münsingen,Münsingen,46.9,7.6
Nidau,Nidau,Nidau,Nidau,47.1,7.2
Wichtrach,Wichtrach,Wichtrach,Wichtrach,46.9,7.6
Riggisberg,Riggisberg,Riggisberg,Riggisberg,46.8,7.5
Roggwil,Roggwil,Roggwil,Roggwil,47.2,7.8
Rubigen,Rubigen,Rubigen,Rubigen,46.9,7.5
Sigriswil,Sigriswil,Sigriswil,Sigriswil,46.7,7.7
Stettlen,Stettlen,Stettlen,Stettlen,47,7.5
Thun,Thoune,Thun,Thun,46.8,7.6
Toffen,Toffen,Toffen,Toffen,46.9,7.5
Vechigen,Vechigen,Vechigen,Vechigen,46.9,7.6
Wileroltigen,Wileroltigen,Wileroltigen,Wileroltigen,47,7.2
Worb,Worb,Worb,Worb,46.9,7.6
Zollikofen,Zollikofen,Zollikofen,Zollikofen,47,7.5
Zäziwil,Zäziwil,Zäziwil,Zäziwil,46.9,7.7
