<SIZE>17
<LANG>EN,FR,DE,IT
<STATE>Genève,GE
Bernex,Bernex,Bernex,Bernex,46.2,6.1
Carouge,Carouge,Carouge,Carouge,46.2,6.1
Chêne-Bougeries,Chêne-Bougeries,Chêne-Bougeries,Chêne-Bougeries,46.2,6.2
Chêne-Bourg,Chêne-Bourg,Chêne-Bourg,Chêne-Bourg,46.2,6.2
Confignon,Confignon,Confignon,Confignon,46.2,6.1
Geneva,Genève,Genf,Ginevra,46.2,6.2
Le Grand-Saconnex,Le Grand-Saconnex,Le Grand-Saconnex,Le Grand-Saconnex,46.2,6.1
Meinier,Meinier,Meinier,Meinier,46.2,6.2
Meyrin,Meyrin,Meyrin,Meyrin,46.2,6.1
Onex,Onex,Onex,Onex,46.2,6.1
Plan-les-Ouates,Plan-les-Ouates,Plan-les-Ouates,Plan-les-Ouates,46.2,6.1
Puplinge,Puplinge,Puplinge,Puplinge,46.2,6.2
Satigny,Satigny,Satigny,Satigny,46.2,6
Thônex,Thônex,Thônex,Thônex,46.2,6.2
Vernier,Vernier,Vernier,Vernier,46.2,6.1
Versoix,Versoix,Versoix,Versoix,46.3,6.2
Veyrier,Veyrier,Veyrier,Veyrier,46.2,6.2
