<SIZE>24
<LANG>EN,FR,DE,IT
<STATE>Sankt Gallen,SG
Abtwil,Abtwil,Abtwil,Abtwil,47.4,9.3
Altstätten,Altstätten,Altstätten,Altstätten,47.4,9.5
Bad Ragaz,Bad Ragaz,Bad Ragaz,Bad Ragaz,47,9.5
Bronschhofen,Bronschhofen,Bronschhofen,Bronschhofen,47.5,9
Bütschwil,Bütschwil,Bütschwil,Bütschwil,47.4,9.1
Degersheim,Degersheim,Degersheim,Degersheim,47.4,9.2
Flums,Flums,Flums,Flums,47.1,9.3
Ganterschwil,Ganterschwil,Ganterschwil,Ganterschwil,47.4,9.1
Jona,Jona,Jona,Jona,47.2,8.8
Jonschwil,Jonschwil,Jonschwil,Jonschwil,47.4,9.1
Kirchberg,Kirchberg,Kirchberg,Kirchberg,47.4,9
Lichtensteig,Lichtensteig,Lichtensteig,Lichtensteig,47.3,9.1
Lütisburg,Lütisburg,Lütisburg,Lütisburg,47.4,9.1
Niederbüren,Niederbüren,Niederbüren,Niederbüren,47.5,9.2
Niederhelfenschwil,Niederhelfenschwil,Niederhelfenschwil,Niederhelfenschwil,47.5,9.2
Oberhelfenschwil,Oberhelfenschwil,Oberhelfenschwil,Oberhelfenschwil,47.4,9.1
Oberuzwil,Oberuzwil,Oberuzwil,Oberuzwil,47.4,9.1
Rapperswil,Rapperswil,Rapperswil,Rapperswil,47.2,8.8
St. Gallen,Saint-Gall,St. Gallen,San Gallo,47.5,9.4
Sankt Margrethen,Sankt Margrethen,Sankt Margrethen,Sankt Margrethen,47.5,9.6
Sargans,Sargans,Sargans,Sargans,47,9.4
Weesen,Weesen,Weesen,Weesen,47.1,9.1
Wil,Wil,Wil,Wil,47.5,9
Zuzwil,Zuzwil,Zuzwil,Zuzwil,47.5,9.1
