<SIZE>17
<LANG>EN,FR,DE,IT
<STATE>Schaffhausen,SH
Beggingen,Beggingen,Beggingen,Beggingen,47.8,8.5
Beringen,Beringen,Beringen,Beringen,47.7,8.6
Bibern,Bibern,Bibern,Bibern,47.8,8.7
Dörflingen,Dörflingen,Dörflingen,Dörflingen,47.7,8.7
Gächlingen,Gächlingen,Gächlingen,Gächlingen,47.7,8.5
Hallau,Hallau,Hallau,Hallau,47.7,8.5
Hemishofen,Hemishofen,Hemishofen,Hemishofen,47.7,8.8
Hemmenthal,Hemmenthal,Hemmenthal,Hemmenthal,47.7,8.6
Lohn,Lohn,Lohn,Lohn,47.8,8.7
Merishausen,Merishausen,Merishausen,Merishausen,47.8,8.6
Neunkirch,Neunkirch,Neunkirch,Neunkirch,47.7,8.5
Oberhallau,Oberhallau,Oberhallau,Oberhallau,47.7,8.5
Osterfingen,Osterfingen,Osterfingen,Osterfingen,47.7,8.5
Ramsen,Ramsen,Ramsen,Ramsen,47.7,8.8
Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa,47.7,8.6
Thayngen,Thayngen,Thayngen,Thayngen,47.7,8.7
Trasadingen,Trasadingen,Trasadingen,Trasadingen,47.7,8.4
