<SIZE>50
<LANG>EN,FR,DE,IT
<STATE>Vaud,VD
Assens,Assens,Assens,Assens,46.6,6.6
Baulmes,Baulmes,Baulmes,Baulmes,46.8,6.5
Belmont-sur-Lausanne,Belmont-sur-Lausanne,Belmont-sur-Lausanne,Belmont-sur-Lausanne,46.5,6.7
Blonay,Blonay,Blonay,Blonay,46.5,6.9
Bonvillars,Bonvillars,Bonvillars,Bonvillars,46.8,6.7
Bottens,Bottens,Bottens,Bottens,46.6,6.7
Bullet,Bullet,Bullet,Bullet,46.8,6.6
Champagne,Champagne,Champagne,Champagne,46.8,6.7
Champvent,Champvent,Champvent,Champvent,46.8,6.6
Chardonne,Chardonne,Chardonne,Chardonne,46.5,6.8
Chavannes,Chavannes,Chavannes,Chavannes,46.5,6.6
Chavornay,Chavornay,Chavornay,Chavornay,46.7,6.6
Chexbres,Chexbres,Chexbres,Chexbres,46.5,6.8
Concise,Concise,Concise,Concise,46.8,6.7
Cossonay,Cossonay,Cossonay,Cossonay,46.6,6.5
Cully,Cully,Cully,Cully,46.5,6.7
Daillens,Daillens,Daillens,Daillens,46.6,6.5
Echallens,Echallens,Echallens,Echallens,46.6,6.6
Ecublens,Ecublens,Ecublens,Ecublens,46.5,6.6
Fiez,Fiez,Fiez,Fiez,46.8,6.6
Goumoens-la-Ville,Goumoens-la-Ville,Goumoens-la-Ville,Goumoens-la-Ville,46.7,6.6
Grandson,Grandson,Grandson,Grandson,46.8,6.6
Granges,Granges,Granges,Granges,46.8,6.9
Gryon,Gryon,Gryon,Gryon,46.3,7.1
La Sarraz,La Sarraz,La Sarraz,La Sarraz,46.7,6.5
La Tour-de-Peilz,La Tour-de-Peilz,La Tour-de-Peilz,La Tour-de-Peilz,46.5,6.9
Lausanne,Lausanne,Lausanne,Losanna,46.5,6.6
Le Chenit,Le Chenit,Le Chenit,Le Chenit,46.6,6.2
Le Mont-sur-Lausanne,Le Mont-sur-Lausanne,Le Mont-sur-Lausanne,Le Mont-sur-Lausanne,46.6,6.6
Leysin,Leysin,Leysin,Leysin,46.3,7
Lully,Lully,Lully,Lully,46.5,6.5
Lutry,Lutry,Lutry,Lutry,46.5,6.7
Montagny,Montagny-près-Yverdon,Montagny,Montagny,46.8,6.6
Montcherand,Montcherand,Montcherand,Montcherand,46.7,6.5
Montpreveyres,Montpreveyres,Montpreveyres,Montpreveyres,46.6,6.7
Ollon,Ollon,Ollon,Ollon,46.3,7
Orbe,Orbe,Orbe,Orbe,46.7,6.5
Penthalaz,Penthalaz,Penthalaz,Penthalaz,46.6,6.5
Prilly,Prilly,Prilly,Prilly,46.5,6.6
Préverenges,Préverenges,Préverenges,Préverenges,46.5,6.5
Rances,Rances,Rances,Rances,46.8,6.5
Roche,Roche,Roche,Roche,46.4,6.9
Savigny,Savigny,Savigny,Savigny,46.5,6.7
Vevey,Vevey,Vevey,Vevey,46.5,6.8
Veytaux,Veytaux,Veytaux,Veytaux,46.4,6.9
Villeneuve,Villeneuve,Villeneuve,Villeneuve,46.4,6.9
Vufflens-le-Château,Vufflens-le-Château,Vufflens-le-Château,Vufflens-le-Château,46.5,6.5
Vuiteboeuf,Vuiteboeuf,Vuiteboeuf,Vuiteboeuf,46.8,6.6
Yverdon-les-Bains,Yverdon-les-Bains,Yverdon-les-Bains,Yverdon-les-Bains,46.8,6.7
Yvonand,Yvonand,Yvonand,Yvonand,46.8,6.8
