<SIZE>15
<LANG>EN,FR,DE,IT
<STATE>Valais,VS
Betten,Betten,Betten,Betten,46.4,8.1
Champéry,Champéry,Champéry,Champéry,46.2,6.9
Dorénaz,Dorénaz,Dorénaz,Dorénaz,46.1,7
Fully,Fully,Fully,Fully,46.1,7.1
Liddes,Liddes,Liddes,Liddes,46,7.2
Martigny-Combe,Martigny-Combe,Martigny-Combe,Martigny-Combe,46.1,7.1
Martigny-Ville,Martigny-Ville,Martigny-Ville,Martigny-Ville,46.1,7.1
Orsières,Orsières,Orsières,Orsières,46,7.1
Sembrancher,Sembrancher,Sembrancher,Sembrancher,46.1,7.2
Sierre,Sierre,Sierre,Sierre,46.3,7.5
Sion,Sion,Sion,Sion,46.2,7.4
Tanay,Tanay,Tanay,Tanay,46.3,6.8
Troistorrents,Troistorrents,Troistorrents,Troistorrents,46.2,6.9
Vernayaz,Vernayaz,Vernayaz,Vernayaz,46.1,7
Vionnaz,Vionnaz,Vionnaz,Vionnaz,46.3,6.9
