<SIZE>234
<LANG>EN,FR,DE,IT
<STATE>Zürich,ZH
Adetswil,Adetswil,Adetswil,Adetswil,47.3,8.8
Adlikon,Adlikon,Adlikon,Adlikon,47.4,8.5
Aesch,Aesch,Aesch,Aesch,47.3,8.7
Alt-Bachs,Alt-Bachs,Alt-Bachs,Alt-Bachs,47.5,8.4
Altikon,Altikon,Altikon,Altikon,47.6,8.8
Altlandenberg,Altlandenberg,Altlandenberg,Altlandenberg,47.4,8.9
Andelfingen,Andelfingen,Andelfingen,Andelfingen,47.6,8.7
Arn,Arn,Arn,Arn,47.2,8.6
Au,Au,Au,Au,47.2,8.6
Augwil,Augwil,Augwil,Augwil,47.5,8.6
Auslikon,Auslikon,Auslikon,Auslikon,47.3,8.8
Ausser-Dinhard,Ausser-Dinhard,Ausser-Dinhard,Ausser-Dinhard,47.6,8.8
Bachenbülach,Bachenbülach,Bachenbülach,Bachenbülach,47.5,8.5
Bassersdorf,Bassersdorf,Bassersdorf,Bassersdorf,47.4,8.6
Bauma,Bauma,Bauma,Bauma,47.4,8.9
Benglen,Benglen,Benglen,Benglen,47.4,8.6
Benken,Benken,Benken,Benken,47.7,8.7
Berg,Berg,Berg,Berg,47.6,8.6
Bertschikon,Bertschikon,Bertschikon,Bertschikon,47.3,8.8
Binz,Binz,Binz,Binz,47.4,8.6
Binzholz,Binzholz,Binzholz,Binzholz,47.3,8.9
Binzikon,Binzikon,Binzikon,Binzikon,47.3,8.8
Birchwil,Birchwil,Birchwil,Birchwil,47.5,8.6
Bisikon,Bisikon,Bisikon,Bisikon,47.4,8.7
Bonstetten,Bonstetten,Bonstetten,Bonstetten,47.3,8.5
Boppelsen,Boppelsen,Boppelsen,Boppelsen,47.5,8.4
Breite,Breite,Breite,Breite,47.5,8.7
Breitenmatt,Breitenmatt,Breitenmatt,Breitenmatt,47.3,8.9
Bruggäcker,Bruggäcker,Bruggäcker,Bruggäcker,47.4,8.8
Brunau,Brunau,Brunau,Brunau,47.4,8.4
Brünnli/Hardacker,Brünnli/Hardacker,Brünnli/Hardacker,Brünnli/Hardacker,47.4,8.6
Brütten,Brütten,Brütten,Brütten,47.5,8.7
Brüttisellen,Brüttisellen,Brüttisellen,Brüttisellen,47.4,8.6
Buchberg,Buchberg,Buchberg,Buchberg,47.6,8.6
Bäretswil,Bäretswil,Bäretswil,Bäretswil,47.3,8.9
Bückler-Dörnler,Bückler-Dörnler,Bückler-Dörnler,Bückler-Dörnler,47.5,8.5
Chriesbaumweid,Chriesbaumweid,Chriesbaumweid,Chriesbaumweid,47.4,8.8
Dachslern,Dachslern,Dachslern,Dachslern,47.5,8.4
Dielsdorf,Dielsdorf,Dielsdorf,Dielsdorf,47.5,8.5
Dorf,Dorf,Dorf,Dorf,47.2,8.7
Dorf Aesch,Dorf Aesch,Dorf Aesch,Dorf Aesch,47.5,8.7
Dänikon,Dänikon,Dänikon,Dänikon,47.4,8.4
Dättlikon,Dättlikon,Dättlikon,Dättlikon,47.5,8.6
Dürnten,Dürnten,Dürnten,Dürnten,47.3,8.8
Ebertswil,Ebertswil,Ebertswil,Ebertswil,47.2,8.5
Ebmatingen,Ebmatingen,Ebmatingen,Ebmatingen,47.3,8.6
Egetswil,Egetswil,Egetswil,Egetswil,47.5,8.6
Egg,Egg,Egg,Egg,47.3,8.7
Elgg,Elgg,Elgg,Elgg,47.5,8.9
Ellikon,Ellikon,Ellikon,Ellikon,47.6,8.8
Elsau-Räterschen,Elsau-Räterschen,Elsau-Räterschen,Elsau-Räterschen,47.5,8.8
End-Höri,End-Höri,End-Höri,End-Höri,47.5,8.5
Esslingen,Esslingen,Esslingen,Esslingen,47.3,8.7
Fahrweid,Fahrweid,Fahrweid,Fahrweid,47.4,8.4
Fehraltorf,Fehraltorf,Fehraltorf,Fehraltorf,47.4,8.8
Feuerthalen,Feuerthalen,Feuerthalen,Feuerthalen,47.7,8.6
Flaach,Flaach,Flaach,Flaach,47.6,8.6
