<SIZE>527
<LANG>EN,FR,DE,IT
Aargau,Argovie,Aargau,Argovia,AG
Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,Appenzello Esterno,AR
Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,Appenzello Interno,AI
Basel-Land,Bâle-Campagne,Basel-Landschaft,Basilea Campagna,BL
Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città,BS
Berne,Berne,Bern,Berna,BE
Fribourg,Fribourg,Freiburg,Friburgo,FR
Geneva,Genève,Genf,Ginevra,GE
Glarus,Glaris,Glarus,Glarona,GL
Graubünden,Grisons,Graubünden,Grigioni,GR
Jura,Jura,Jura,Giura,JU
Lucerne,Lucerne,Luzern,Lucerna,LU
Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel,NE
Nidwalden,Nidwald,Nidwalden,Nidvaldo,NW
Obwalden,Obwald,Obwalden,Obvaldo,OW
St. Gallen,Saint-Gall,St. Gallen,San Gallo,SG
Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa,SH
Schwyz,Schwytz,Schwyz,Svitto,SZ
Solothurn,Soleure,Solothurn,Soletta,SO
Thurgau,Thurgovie,Thurgau,Turgovia,TG
Ticino,Tessin,Tessin,Ticino,TI
Uri,Uri,Uri,Uri,UR
Valais,Valais,Wallis,Vallese,VS
Vaud,Vaud,Waadt,Vaud,VD
Zug,Zoug,Zug,Zugo,ZG
Zurich,Zurich,Zürich,Zurigo,ZH
