<SIZE>51
<LANG>EN
<STATE>Larnaca,LA
Alaminos,34.8083,33.4333
Alethriko,34.8611,33.4958
Anaphotia,34.825,33.4625
Aradhippou,34.95,33.5917
Armenokhori,34.7458,33.1292
Athienou,35.0667,33.5417
Avdhellero,35.0125,33.5708
Ayia Anna,34.9417,33.4833
Ayios Tykhonas,34.725,33.1417
Dhromolaxia,34.8792,33.5833
Kalavasos,34.7667,33.3
Kato Dhrys,34.85,33.3042
Kato Lefkara,34.8625,33.3167
Kellia,34.9792,33.6208
Khirokitia,34.7958,33.3375
Kiti,34.85,33.575
Kivisil,34.8375,33.5083
Klavdhia,34.8917,33.5125
Kophinou,34.825,33.3875
Larnaca,34.9167,33.6292
Layia,34.8417,33.2458
Livadhia,34.9542,33.6292
Mari,34.7417,33.3
Maroni,34.7583,33.3556
Mathiatis,34.9667,33.3333
Mazotos,34.8083,33.4875
Meneou,34.85,33.5708
Menoyia,34.8417,33.4417
Monagroulli,34.75,33.2125
Moni,34.7333,33.2
Mosphiloti,34.95,33.4292
Odhou,34.8875,33.15
Ora,34.8625,33.1958
Pano Lefkara,34.8667,33.3042
Parekklisha,34.7458,33.1583
Perivolia,34.8292,33.5833
Psematismenos,34.7667,33.3458
Psevdhas,34.95,33.4625
Pyla,35.0292,33.6917
Pyrgos,34.7417,33.1833
Sha,34.9375,33.3917
Skarinou,34.825,33.3542
Sophtadhes,34.8361,33.55
Tersephanou,34.8542,33.5458
Tokhni,34.7833,33.325
Troulli,35.0333,33.6167
Vavatsinia,34.8958,33.2292
Vavla,34.8417,33.2667
Voroklini,34.9833,33.6583
Xylotymbou,35.0167,33.75
Zyyi,34.7333,33.3375
