<SIZE>75
<LANG>EN
<STATE>Limassol,LI
Agridhia,34.9292,32.9958
Agros,34.9167,33.0167
Akapnou,34.8417,33.1875
Akrotiri,34.6042,32.9583
Akrounda,34.7667,33.0833
Alekhtora,34.7083,32.6833
Anoyira,34.7458,32.7333
Apesha,34.7917,32.9792
Apsiou,34.8,33.0167
Arakapas,34.8417,33.1125
Asgata,34.7792,33.2583
Asomatos,34.6375,32.9583
Ayios Amvrosios,34.7833,32.8292
Ayios Dhimitrios,34.925,32.8167
Ayios Konstantinos,34.8667,33.0667
Ayios Mamas,34.85,32.95
Ayios Pavlos,34.8667,33.0458
Ayios Therapon,34.8125,32.8333
Ayios Thomas,34.7167,32.725
Dhierona,34.8167,33.1125
Dhoros,34.8167,32.9083
Dhymes,34.9167,32.9833
Ephtagonia,34.85,33.1583
Erimi,34.6792,32.9167
Evdhimou,34.6958,32.7625
Kaminaria,34.9292,32.7833
Kandou,34.6917,32.9042
Kapilio,34.8333,32.9583
Kato Amiandos,34.9208,32.9333
Kato Mylos,34.8958,33.0042
Kato Platres,34.875,32.8417
Khalassa,34.7583,32.9208
Khandria,34.9458,32.9958
Kilani,34.8458,32.8625
Kissousa,34.8125,32.7958
Klonari,34.8292,33.1833
Kolossi,34.6708,32.9292
Korphi,34.8083,32.9708
Kouka,34.85,32.8917
Kyperounda,34.9375,32.975
Lania,34.825,32.9208
Lemithou,34.95,32.8167
Limassol,34.675,33.0333
Limnatis,34.8167,32.95
Lophos,34.825,32.8667
Louvaras,34.8375,33.0458
Mallia,34.8167,32.7833
Monagri,34.8083,32.9125
Moniatis,34.8708,32.8958
Moutayiaka,34.7208,33.1
Omodhos,34.85,32.8083
Pakhna,34.7792,32.7958
Paleomylos,34.9375,32.825
Palodhia,34.75,33.0042
Pano Amiandos,34.9292,32.9167
Pano Platres,34.8875,32.8667
Pano Polemidhia,34.7,33
Paramytha,34.7625,32.9958
Pelendria,34.9,32.9667
Phini,34.8917,32.8375
Phinikaria,34.7542,33.1
Pissouri,34.6708,32.7083
Plataniskia,34.7125,32.7083
Potamiou,34.825,32.8083
Potamitissa,34.9083,32.9875
Sanidha,34.8083,33.1875
Silikou,34.8333,32.8917
Sotira,34.7292,32.8625
Spitali,34.7667,33.0042
Sykopetra,34.8792,33.1125
Trimiklini,34.8458,32.9125
Vouni,34.825,32.8333
Yerasa,34.8042,33
Ypsonas,34.6833,32.9583
Zoopiyi,34.8667,33.0167
