<SIZE>94
<LANG>EN
<STATE>Jihočeský Kraj,JC
Bavorov,49.1218,14.0789
Bechyně,49.2952,14.4681
Benešov nad Černou,48.7294,14.6274
Bernartice,49.3689,14.381
Blatná,49.4249,13.8818
Borek,49.0234,14.5009
Borovany,48.8986,14.6423
Brloh,48.9299,14.2186
Chlum u Třeboně,48.9623,14.928
Chotoviny,49.478,14.6769
Chvalšiny,48.854,14.2111
Chyšky,49.5235,14.4276
Chýnov,49.4068,14.8112
Dačice,49.0815,15.4373
Dolní Bukovsko,49.1709,14.5813
Dolní Dvořiště,48.6564,14.4522
Dubné,48.9762,14.3604
Dřiteň,49.1428,14.346
Frymburk,48.6609,14.1656
Hluboká nad Vltavou,49.0522,14.4343
Horní Planá,48.7674,14.0326
Horní Stropnice,48.7612,14.735
Hrdějovice,49.0189,14.4786
Husinec,49.055,13.987
Jarošov nad Nežárkou,49.1899,15.0673
Jindřichův Hradec,49.144,15.003
Jistebnice,49.4855,14.5276
Kamenný Újezd,48.8975,14.4464
Kaplice,48.7385,14.4963
Kardašova Řečice,49.1848,14.8532
Katovice,49.2735,13.8304
Kovářov,49.5176,14.2781
Kunžak,49.1212,15.1903
Kájov,48.8108,14.2586
Křemže,48.905,14.3057
Ledenice,48.9333,14.6189
Lhenice,48.9948,14.1498
Litvínovice,48.9621,14.4515
Lišov,49.016,14.6084
Lomnice nad Lužnicí,49.0847,14.7173
Loučovice,48.6202,14.2575
Malonty,48.6861,14.5768
Malšice,49.3639,14.5787
Milevsko,49.4509,14.36
Mirotice,49.4291,14.037
Mirovice,49.5156,14.0358
Mladá Vožice,49.5331,14.8086
Netolice,49.0493,14.197
Nová Bystřice,49.0193,15.1032
Nová Včelnice,49.2393,15.0726
Nové Hrady,48.7896,14.7784
Opařany,49.3968,14.4814
Planá nad Lužnicí,49.3544,14.7015
Prachatice,49.0129,13.9975
Protivín,49.1995,14.2172
Písek,49.3088,14.1475
Radomyšl,49.3163,13.9302
Rudolfov,48.9934,14.5418
Sedlice,49.3772,13.939
Sepekov,49.4286,14.4182
Sezimovo Ústí,49.3852,14.6848
Slavonice,48.9975,15.3515
Soběslav,49.2599,14.7186
Srubec,48.9481,14.5413
Stachy,49.1018,13.6666
Strakonice,49.2614,13.9024
Strmilov,49.1585,15.1993
Strunkovice nad Blanicí,49.084,14.0552
Studená,49.1852,15.2869
Suchdol nad Lužnicí,48.8933,14.877
Trhové Sviny,48.8423,14.6392
Tábor,49.4144,14.6578
Týn nad Vltavou,49.2234,14.4206
Třeboň,49.0036,14.7706
Vacov,49.1369,13.7291
Velešín,48.8295,14.4625
Veselí nad Lužnicí,49.1843,14.6973
Vimperk,49.0586,13.7829
Vlachovo Březí,49.0813,13.9584
Vodňany,49.1479,14.1751
Volary,48.9088,13.8866
Volyně,49.1658,13.8862
Vyšší Brod,48.616,14.3118
Včelná,48.9237,14.4538
Větřní,48.7742,14.2862
Zdíkov,49.0846,13.6974
Zliv,49.0661,14.3661
České Budějovice,48.9745,14.4743
České Velenice,48.7685,14.9637
Český Krumlov,48.8109,14.3152
Český Rudolec,49.0684,15.3244
Čimelice,49.4656,14.0692
Čkyně,49.115,13.8291
Ševětín,49.1001,14.5722
