<SIZE>160
<LANG>EN
<STATE>South Moravian Region,JM
Adamov,49.3005,16.6586
Blansko,49.3631,16.6432
Blažovice,49.1657,16.7861
Blučina,49.055,16.6445
Blížkovice,48.9998,15.8348
Boskovice,49.4875,16.66
Bořetice,48.913,16.8531
Bořitov,49.425,16.5912
Bošovice,49.0535,16.8368
Božice,48.8369,16.2888
Brno,49.1952,16.5997
Bučovice,49.149,17.0019
Bzenec,48.9734,17.2669
Bílovice nad Svitavou,49.2471,16.6725
Břeclav,48.759,16.882
Březí,48.8193,16.5675
Dambořice,49.0383,16.9176
Dobšice,48.8483,16.0854
Dolní Bojanovice,48.8586,17.0286
Dolní Dunajovice,48.8545,16.5928
Dolní Kounice,49.0701,16.4649
Domanín,49.0017,17.2848
Doubravice nad Svitavou,49.4366,16.6294
Drnholec,48.8575,16.4859
Drnovice,49.2763,16.9515
Drásov,49.3318,16.478
Dubňany,48.9169,17.09
Hevlín,48.7521,16.3813
Hlohovec,48.774,16.7623
Hodonice,48.8368,16.1634
Hodonín,48.8489,17.1324
Hostěradice,48.9501,16.2593
Hovorany,48.9549,16.9935
Hroznová Lhota,48.9078,17.417
Hrušky,48.7927,16.974
Hrušovany nad Jevišovkou,48.8299,16.4027
Hrušovany u Brna,49.0386,16.5943
Hustopeče,48.9408,16.7376
Ivanovice na Hané,49.3054,17.0934
Ivančice,49.1014,16.3775
Jaroslavice,48.7566,16.2335
Jedovnice,49.3445,16.7559
Jevišovice,48.9874,15.9899
Kněždub,48.8867,17.3955
Kobylí,48.9329,16.8916
Kostice,48.7469,16.9787
Krumvíř,48.989,16.9103
Kunštát,49.5065,16.5172
Kuřim,49.2985,16.5314
Kyjov,49.0102,17.1225
Křenovice,49.1422,16.8293
Křepice,48.9999,16.7199
Lanžhot,48.7244,16.9669
Lednice,48.7999,16.8034
Lelekovice,49.2914,16.5787
Letonice,49.1773,16.9591
Letovice,49.5471,16.5736
Lipov,48.9049,17.4617
Lipovec,49.3839,16.8058
Lipůvka,49.3403,16.5529
Lomnice,49.4046,16.4136
Louka,48.9152,17.4893
Lužice,48.841,17.071
Lysice,49.4516,16.5372
Mikulov,48.8056,16.6378
Mikulčice,48.8164,17.0511
Milotice,48.9553,17.1424
Miroslav,48.9477,16.3125
Modřice,49.1279,16.6144
Moravany,49.1456,16.5762
Moravská Nová Ves,48.803,17.0137
Moravský Krumlov,49.0489,16.3117
Moravský Písek,48.9902,17.3327
Moravský Žižkov,48.8329,16.9314
Moutnice,49.0492,16.7374
Mutěnice,48.9041,17.0292
Měnín,49.0824,16.6942
Nesovice,49.1511,17.0809
Nosislav,49.0138,16.6543
Novosedly,48.837,16.4927
Olbramovice,48.9848,16.4024
Olešnice,49.5576,16.4217
Oslavany,49.1233,16.3365
Ostopovice,49.161,16.5455
Ostrov u Macochy,49.3824,16.7627
Otnice,49.0864,16.8144
Ořechov,49.1112,16.5233
Petrov,48.882,17.2781
Podivín,48.8255,16.8482
Podolí,49.1904,16.7208
Pohořelice,48.9812,16.5245
Pozořice,49.2098,16.7907
Prušánky,48.8284,16.9807
Pustiměř,49.3225,17.0279
Předklášteří,49.3525,16.4024
Rajhrad,49.0902,16.6039
Rajhradice,49.092,16.6293
Rakvice,48.8581,16.8133
Ratíškovice,48.92,17.1656
Rohatec,48.8804,17.1833
Rosice,49.1823,16.3879
Rousínov,49.2013,16.8821
Rájec-Jestřebí,49.4109,16.639
Ráječko,49.3939,16.645
Slavkov u Brna,49.1533,16.8765
Sokolnice,49.1139,16.7216
Strážnice,48.901,17.3168
Střelice,49.1522,16.504
Suchohrdly,48.8661,16.089
Sudoměřice,48.8672,17.2568
Svitávka,49.5018,16.5979
Tasovice,48.8361,16.1556
Telnice,49.1019,16.7177
Tišnov,49.3487,16.4244
Troubsko,49.1695,16.5108
Tvarožná,49.1918,16.7715
Tvrdonice,48.7605,16.9945
Týnec,48.7794,17.0132
Těšany,49.0396,16.77
Vacenovice,48.9451,17.174
Valtice,48.7407,16.755
Velká nad Veličkou,48.8826,17.5206
Velké Bílovice,48.8493,16.8923
Velké Němčice,48.9917,16.6721
Velké Opatovice,49.6124,16.6795
Velké Pavlovice,48.9047,16.816
Veselí nad Moravou,48.9536,17.3765
Veverská Bítýška,49.2759,16.4369
Viničné Šumice,49.2136,16.8254
Višňové,48.9824,16.1503
Vlkoš,48.9896,17.1636
Vnorovy,48.931,17.3505
Vojkovice,49.0514,16.6082
Vracov,48.9752,17.211
Vranovice,48.966,16.6066
Vrbice,48.9151,16.8978
Vrbovec,48.7998,16.1006
Vyškov,49.2775,16.999
Zaječí,48.873,16.7665
Zastávka,49.188,16.3631
Zbraslav,49.2216,16.2941
Zbýšov,49.1552,16.3495
Znojmo,48.8555,16.0488
Únanov,48.9008,16.0635
Čebín,49.3132,16.4779
Čejkovice,48.9059,16.9423
Čejč,48.9465,16.9651
Černá Hora,49.4136,16.5814
Říčany,49.215,16.3936
Šakvice,48.8975,16.7142
Šanov,48.8009,16.3786
Šardice,48.964,17.0281
Šatov,48.7932,16.0099
Šitbořice,49.0143,16.7798
Šlapanice,49.1686,16.7273
Žabčice,49.0116,16.6026
Ždánice,49.0673,17.0275
Želešice,49.1169,16.5814
Žeravice,49.0229,17.2373
Židlochovice,49.0395,16.6188
