<SIZE>42
<LANG>EN
<STATE>Karlovarský Kraj,KA
Abertamy,50.3687,12.8183
Aš,50.2239,12.195
Bochov,50.1509,13.0452
Bukovany,50.1663,12.5726
Březová,50.1456,12.65
Cheb,50.0796,12.3739
Chodov,50.2413,12.7533
Dalovice,50.2478,12.8958
Dolní Rychnov,50.1646,12.6451
Dolní Žandov,50.0179,12.551
Františkovy Lázně,50.1203,12.3517
Habartov,50.183,12.5505
Hazlov,50.1563,12.2724
Horní Slavkov,50.1386,12.8076
Hranice,50.3046,12.1758
Hroznětín,50.3094,12.8718
Jáchymov,50.3585,12.9347
Karlovy Vary,50.2213,12.8861
Klášter,49.9818,12.863
Kraslice,50.3237,12.5175
Kynšperk nad Ohří,50.1189,12.5303
Loket,50.186,12.754
Lomnice,50.2117,12.6327
Luby,50.2525,12.4059
Lázně Kynžvart,50.0106,12.6247
Mariánské Lázně,49.9646,12.7012
Merklín,50.3281,12.8635
Nejdek,50.3224,12.7294
Nová Role,50.2709,12.7842
Nové Sedlo,50.2065,12.738
Oloví,50.2511,12.5588
Ostrov,50.3059,12.9391
Plesná,50.2207,12.3467
Rotava,50.2963,12.5734
Sadov,50.2671,12.8971
Skalná,50.1703,12.3614
Sokolov,50.1813,12.6401
Svatava,50.1922,12.6252
Toužim,50.0605,12.9851
Velká Hleďsebe,49.9615,12.6676
Vintířov,50.2338,12.7175
Žlutice,50.0919,13.163
