<SIZE>109
<LANG>EN
<STATE>Olomoucký Kraj,OL
Bedihošť,49.4483,17.1664
Bludov,49.9408,16.9285
Bochoř,49.4214,17.4284
Bohuňovice,49.663,17.2869
Bouzov,49.7043,16.8929
Brodek u Přerova,49.4842,17.3382
Bílá Lhota,49.7095,16.9751
Bělotín,49.5912,17.8065
Dolany,49.6499,17.3224
Dolní Bohdíkov,50.01,16.9043
Dolní Libina,49.8582,17.1073
Dolní Studénky,49.9351,16.9711
Dolní Újezd,49.546,17.5355
Doloplazy,49.5672,17.4115
Drahanovice,49.5786,17.077
Dub nad Moravou,49.4825,17.2772
Dubicko,49.8281,16.9627
Dřevohostice,49.4259,17.592
Grygov,49.5379,17.3108
Hanušovice,50.0805,16.9364
Hlubočky,49.6276,17.4025
Hněvotín,49.5721,17.1795
Horka nad Moravou,49.6401,17.2107
Horní Moštěnice,49.4121,17.4588
Horní Štěpánov,49.549,16.7908
Hranice,49.548,17.7347
Hustopeče Nad Bečvou,49.5305,17.8699
Javorník,50.3908,17.0027
Jeseník,50.2294,17.2046
Kojetín,49.3518,17.3021
Kokory,49.4948,17.3754
Konice,49.5903,16.8891
Kostelec na Hané,49.514,17.0582
Kralice na Hané,49.463,17.1805
Leština,49.8688,16.9275
Litovel,49.7012,17.0761
Loučná nad Desnou,50.0716,17.091
Loštice,49.7447,16.9289
Lutín,49.5585,17.1357
Majetín,49.4981,17.3331
Medlov,49.7875,17.0626
Mikulovice,50.2985,17.3216
Mohelnice,49.777,16.9195
Moravičany,49.7569,16.9604
Mostkovice,49.4721,17.0521
Město Libavá,49.7216,17.5201
Nezamyslice,49.3254,17.1733
Nový Malín,49.9426,17.0319
Náklo,49.6546,17.1297
Náměšť na Hané,49.6021,17.0654
Němčice nad Hanou,49.3418,17.206
Olomouc,49.5939,17.2509
Olšany,49.9651,16.8589
Osek nad Bečvou,49.5112,17.5283
Oskava,49.8952,17.1321
Otaslavice,49.3883,17.0711
Paseka,49.7964,17.2228
Plumlov,49.4661,17.015
Postřelmov,49.9076,16.9123
Potštát,49.6369,17.6517
Prostějov,49.4719,17.1118
Protivanov,49.4835,16.8359
Ptení,49.5116,16.9611
Písečná,50.273,17.2537
Přemyslovice,49.5564,16.9558
Přerov,49.4551,17.4509
Přáslavice,49.5867,17.3855
Příkazy,49.6436,17.1434
Radslavice,49.4782,17.5166
Rapotín,50.0109,17.0312
Rokytnice,49.4659,17.3912
Ruda nad Moravou,49.981,16.8778
Samotíšky,49.6304,17.3281
Senice na Hané,49.624,17.0858
Skrbeň,49.6411,17.1765
Slatinice,49.5616,17.0999
Smržice,49.5057,17.107
Sobotín,50.0117,17.0908
Staré Město,50.1617,16.9473
Strážná,49.831,17.1327
Sudkov,49.919,16.9452
Tovačov,49.4308,17.288
Troubelice,49.8173,17.081
Troubky,49.4321,17.3491
Tršice,49.5411,17.427
Těšetice,49.5932,17.1261
Uničov,49.7709,17.1214
Určice,49.4305,17.0729
Velká Bystřice,49.5942,17.364
Velké Losiny,50.032,17.0406
Velký Týnec,49.552,17.3376
Velký Újezd,49.5786,17.4835
Vidnava,50.3723,17.1863
Vikýřovice,49.9779,17.0123
Vrbátky,49.508,17.1999
Vápenná,50.2834,17.0976
Věrovany,49.4611,17.2879
Zlaté Hory,50.2638,17.396
Zábřeh,49.8826,16.8722
Újezd,49.764,17.1804
Úsov,49.7983,17.0105
Čelechovice na Hané,49.5163,17.0938
Červenka,49.7188,17.0837
Česká Ves,50.2574,17.228
Šternberk,49.7304,17.2989
Štíty,49.9612,16.7658
Štěpánov,49.684,17.2204
Šumperk,49.9653,16.9706
Žulová,50.3093,17.0987
