<SIZE>70
<LANG>EN
<STATE>Pardubický Kraj,PA
Brandýs nad Orlicí,50.0019,16.2853
Brněnec,49.6273,16.522
Bystré,49.6285,16.3468
Bystřec,50.0117,16.619
Býšť,50.1324,15.9112
Březová nad Svitavou,49.6442,16.518
Choceň,50.0016,16.223
Chrast,49.9021,15.934
Chroustovice,49.9555,15.9914
Chrudim,49.9511,15.7956
Chvaletice,50.0344,15.4185
Dašice,50.0284,15.9124
Dlouhá Třebová,49.9404,16.4233
Dolní Dobrouč,49.9927,16.4977
Dolní Roveň,50.0293,15.9677
Dolní Újezd,49.8256,16.2546
Dolní Čermná,49.9795,16.5648
Heřmanův Městec,49.9471,15.6649
Hlinsko,49.7621,15.9076
Holice,50.066,15.9859
Horní Jelení,50.049,16.084
Horní Sloupnice,49.9214,16.3395
Horní Čermná,49.9705,16.6077
Hradec nad Svitavou,49.7114,16.4806
Hrochův Týnec,49.9595,15.9105
Jablonné nad Orlicí,50.0296,16.6006
Jaroměřice,49.6256,16.7519
Jedlová,49.661,16.3061
Jevíčko,49.6322,16.7113
Krouna,49.7724,16.0267
Králíky,50.0838,16.7605
Kunvald,50.1293,16.5
Kunčina,49.7946,16.6276
Lanškroun,49.9122,16.6119
Letohrad,50.0358,16.4988
Litomyšl,49.872,16.3105
Lukavice,50.0603,16.4821
Luže,49.8934,16.0285
Lázně Bohdaneč,50.0756,15.6798
Miřetice,49.8413,15.8847
Moravany,50.0009,15.9407
Moravská Třebová,49.7579,16.6643
Městečko Trnávka,49.7093,16.7274
Nasavrky,49.8445,15.8046
Opatov,49.825,16.5046
Opatovice nad Labem,50.1454,15.7904
Osík,49.8435,16.2847
Pardubice,50.0408,15.7766
Polička,49.7146,16.2654
Pomezí,49.7103,16.3173
Prachovice,49.8938,15.6287
Proseč,49.8059,16.1162
Přelouč,50.0398,15.5603
Radiměř,49.6995,16.4313
Ronov nad Doubravou,49.8883,15.5314
Rosice,49.9223,15.9513
Rybitví,50.0601,15.7047
Sezemice,50.0665,15.8527
Seč,49.8469,15.6564
Skuteč,49.8435,15.9965
Slatiňany,49.9211,15.8138
Staré Hradiště,50.0654,15.7788
Svitavy,49.7559,16.4683
Třemošnice,49.8691,15.58
Vysoké Mýto,49.9532,16.1617
Ústí nad Orlicí,49.9739,16.3936
Červená Voda,50.0403,16.7427
Česká Třebová,49.9019,16.4473
Řečany nad Labem,50.0359,15.4774
Žamberk,50.086,16.4674
