<SIZE>82
<LANG>EN
<STATE>Plzeňský Kraj,PL
Bezdružice,49.9072,12.9711
Blovice,49.5822,13.5401
Blížejov,49.5,12.9893
Bor,49.7116,12.7752
Bělá nad Radbuzou,49.5911,12.7176
Břasy,49.837,13.5783
Chlumčany,49.6326,13.3132
Chodová Planá,49.8932,12.7301
Chotěšov,49.6541,13.2027
Chrást,49.7932,13.4936
Dobřany,49.6548,13.2931
Dobřív,49.7157,13.6868
Domažlice,49.4405,12.9298
Dýšina,49.7773,13.4915
Hartmanice,49.1695,13.4546
Heřmanova Huť,49.7068,13.1007
Holoubkov,49.776,13.6925
Holýšov,49.5936,13.1013
Horažďovice,49.3207,13.701
Horní Bříza,49.8401,13.3556
Horšovský Týn,49.5296,12.944
Hostouň,49.5597,12.7715
Hromnice,49.8491,13.4415
Hrádek,49.7099,13.6541
Janovice nad Úhlavou,49.3451,13.2181
Kasejovice,49.4627,13.7406
Kaznějov,49.8931,13.3829
Kašperské Hory,49.1429,13.5562
Kdyně,49.3908,13.0397
Kladruby,49.7153,12.9799
Klatovy,49.3955,13.2951
Klenčí pod Čerchovem,49.4348,12.8147
Kolinec,49.2989,13.439
Kout na Šumavě,49.4025,13.0021
Kožlany,49.9939,13.5411
Kralovice,49.9819,13.4875
Líně,49.6947,13.2569
Manětín,49.9918,13.2332
Meclov,49.5056,12.8808
Merklín,49.5604,13.1979
Mirošov,49.6878,13.6581
Mrákov,49.4031,12.9512
Mýto,49.789,13.7346
Město Touškov,49.7759,13.2511
Měčín,49.4801,13.4029
Nepomuk,49.4862,13.5823
Nezvěstice,49.6404,13.5196
Nýrsko,49.2939,13.1435
Nýřany,49.7115,13.2118
Osek,49.7759,13.5906
Planá,49.8682,12.7438
Plasy,49.9345,13.3904
Plzeň,49.7475,13.3776
Plánice,49.3899,13.4711
Poběžovice,49.5103,12.8026
Postřekov,49.4583,12.8068
Přeštice,49.573,13.3335
Přimda,49.6749,12.6737
Radnice,49.8568,13.6057
Rokycany,49.7427,13.5946
Spálené Poříčí,49.6137,13.6056
Starý Plzenec,49.6977,13.4735
Staňkov,49.5535,13.0698
Stod,49.6391,13.1647
Strašice,49.7355,13.7575
Stráž,49.6688,12.7755
Strážov,49.3033,13.2462
Stříbro,49.7529,13.0041
Sušice,49.2311,13.5202
Tachov,49.7953,12.6337
Tlučná,49.7243,13.2353
Třemošná,49.8158,13.395
Vejprnice,49.7299,13.2763
Všeruby,49.8417,13.2294
Zbiroh,49.8602,13.7726
Zbůch,49.6784,13.2256
Černošín,49.8161,12.8838
Štěnovice,49.6705,13.3996
Švihov,49.4814,13.2842
Šťáhlavy,49.6755,13.5039
Železná Ruda,49.1374,13.2352
Žihle,50.0449,13.375
