<SIZE>177
<LANG>EN
<STATE>Středočeský Kraj,ST
Bakov nad Jizerou,50.4823,14.9415
Benešov,49.7816,14.687
Benátky nad Jizerou,50.2909,14.8234
Beroun,49.9638,14.072
Bohutín,49.6555,13.9439
Brandýs nad Labem-Stará Boleslav,50.1871,14.6633
Brandýsek,50.1892,14.162
Buštěhrad,50.1559,14.189
Bystřice,49.7321,14.6674
Byšice,50.3104,14.6114
Bělá pod Bezdězem,50.5012,14.8042
Březnice,49.5576,13.9506
Cerhenice,50.0713,15.072
Chyňava,50.0274,14.074
Církvice,49.9456,15.335
Cítov,50.3722,14.3981
Davle,49.8922,14.4004
Divišov,49.7885,14.8758
Dobrovice,50.3693,14.9623
Dobřichovice,49.9275,14.2747
Dobříš,49.7811,14.1672
Doksy,50.119,14.0478
Dolní Beřkovice,50.3931,14.4502
Dolní Bousov,50.4382,15.1281
Dolní Břežany,49.9632,14.4585
Horní Počaply,50.4244,14.3899
Horoměřice,50.1317,14.3388
Hostivice,50.0816,14.2586
Hostomice,49.8253,14.0456
Hovorčovice,50.1787,14.5179
Hořovice,49.836,13.9027
Hradišťko,49.8683,14.4093
Hudlice,49.961,13.9706
Hýskov,49.9907,14.0505
Hřebeč,50.1359,14.1645
Jeneč,50.0873,14.2148
Jesenice,49.9681,14.5135
Jince,49.7862,13.9787
Jirny,50.1158,14.6992
Jílové u Prahy,49.8954,14.4933
Kamenice,49.9015,14.5824
Kamenné Žehrovice,50.127,14.0181
Kamenný Přívoz,49.863,14.5034
Kačice,50.1626,13.9882
Kladno,50.1473,14.1029
Klecany,50.176,14.4115
Klobuky,50.294,13.9875
Kněžmost,50.4892,15.0383
Kolín,50.0281,15.2006
Komárov,49.8065,13.8564
Kosmonosy,50.4385,14.93
Kosova Hora,49.6541,14.4717
Kostelec nad Labem,50.2265,14.5855
Kostelec nad Černými Lesy,49.994,14.8592
Kouřim,50.0031,14.977
Kralupy nad Vltavou,50.2411,14.3115
Králův Dvůr,49.9498,14.0345
Krásná Hora nad Vltavou,49.6046,14.2774
Kutná Hora,49.9484,15.2682
Křinec,50.2645,15.1378
Libice nad Cidlinou,50.1268,15.1782
Libiš,50.2742,14.5024
Libušín,50.1682,14.0546
Libčice nad Vltavou,50.199,14.3627
Lochovice,49.8532,13.9813
Loděnice,49.9949,14.1579
Loučeň,50.2854,15.0205
Luštěnice,50.323,14.9367
Lužec nad Vltavou,50.3214,14.4002
Lužná,50.1238,13.77
Lysá nad Labem,50.2014,14.8328
Lány,50.1247,13.9504
Líbeznice,50.192,14.4936
Milovice,50.226,14.8886
Milín,49.6319,14.046
Mladá Boleslav,50.4114,14.9032
Mnichovice,49.936,14.7091
Mnichovo Hradiště,50.5272,14.9713
Mníšek pod Brdy,49.8665,14.2618
Mukařov,49.9911,14.7415
Mělník,50.3505,14.4741
Městec Králové,50.2072,15.2976
Měšice,50.198,14.5199
Mšeno,50.4381,14.6325
Načeradec,49.6102,14.9063
Nehvizdy,50.1306,14.7299
Nelahozeves,50.2615,14.2988
Neratovice,50.2593,14.5176
Netvořice,49.8157,14.5183
Neveklov,49.7537,14.5329
Nižbor,50,14.0024
Nové Strašecí,50.1527,13.9004
Nový Knín,49.788,14.2936
Nymburk,50.1861,15.0417
Obecnice,49.7162,13.9473
Odolena Voda,50.2334,14.4108
Ondřejov,49.9046,14.7842
Pavlíkov,50.056,13.7364
Pchery,50.1938,14.1178
Petrovice,49.5543,14.3374
Pečky,50.0904,15.0302
Plaňany,50.0501,15.0294
Poděbrady,50.1424,15.1188
Postupice,49.728,14.7772
Poříčany,50.1081,14.9182
Poříčí nad Sázavou,49.839,14.6745
Průhonice,49.9996,14.5502
Psáry,49.9362,14.5128
Pyšely,49.8768,14.6771
Přerov nad Labem,50.1603,14.825
Příbram,49.6899,14.0104
Rakovník,50.1037,13.7334
Roztoky,50.1584,14.3976
Rožmitál pod Třemšínem,49.602,13.8643
Rožďalovice,50.3048,15.1696
Rudná,50.035,14.2343
Sadská,50.136,14.9863
Sedlčany,49.6606,14.4266
Slaný,50.2305,14.0869
Smečno,50.1884,14.0404
Stará Huť,49.7823,14.1974
Starý Kolín,50.0098,15.2939
Stochov,50.1463,13.9635
Strančice,49.9481,14.6774
Suchdol,49.9525,15.1665
Sázava,49.8716,14.8967
Tišice,50.2698,14.5541
Trhový Štěpánov,49.7115,15.0136
Tuchlovice,50.138,13.9912
Tuchoměřice,50.1354,14.2822
Týnec nad Labem,50.042,15.3584
Týnec nad Sázavou,49.8335,14.5898
Třebotov,49.9724,14.2913
Uhlířské Janovice,49.8802,15.0648
Unhošť,50.0854,14.1301
Velim,50.0597,15.1071
Velká Dobrá,50.1096,14.0698
Velké Popovice,49.9225,14.6393
Velké Přílepy,50.1605,14.3145
Velký Osek,50.0987,15.1863
Veltruby,50.0706,15.1845
Veltrusy,50.2705,14.3286
Velvary,50.2815,14.2362
Vestec,49.9805,14.5049
Vinařice,50.1758,14.0911
Vlašim,49.7063,14.8988
Votice,49.6401,14.6381
Vrané nad Vltavou,49.9359,14.3771
Vrdy,49.9215,15.4724
Všenory,49.9288,14.3039
Všetaty,50.2819,14.593
Zaječov,49.7743,13.8407
Zbraslavice,49.8118,15.1832
Zdiby,50.168,14.4512
Zdice,49.9121,13.9775
Zeleneč,50.1336,14.6607
Zlonice,50.2875,14.0921
Zruč nad Sázavou,49.7401,15.1061
Zvole,49.9347,14.4177
Zásmuky,49.9547,15.0306
Úvaly,50.0739,14.7308
Čechtice,49.624,15.0482
Čelákovice,50.1604,14.75
Černošice,49.9601,14.3198
Červené Pečky,49.9782,15.2086
Čerčany,49.8529,14.703
Český Brod,50.0742,14.8608
Čáslav,49.911,15.3897
Řevnice,49.9139,14.2359
Řevničov,50.1849,13.8082
Říčany,49.9917,14.6543
Šestajovice,50.1085,14.6801
Štěchovice,49.8511,14.4054
Žebrák,49.8757,13.8973
Žiželice,50.1319,15.3932
Žleby,49.8896,15.4885
Žďár,50.5437,15.0803
