<SIZE>86
<LANG>EN
<STATE>Ústecký Kraj,US
Bechlín,50.4161,14.3409
Benešov nad Ploučnicí,50.7416,14.3124
Bečov,50.4497,13.7178
Bohušovice nad Ohří,50.4932,14.1505
Braňany,50.5429,13.7002
Budyně nad Ohří,50.4043,14.1259
Bystřany,50.6287,13.8642
Bílina,50.5485,13.7753
Březno,50.4019,13.4212
Chabařovice,50.6732,13.9418
Chlumec,50.6997,13.9396
Chomutov,50.4605,13.4178
Chřibská,50.8632,14.483
Dobroměřice,50.3701,13.7947
Dolní Podluží,50.8799,14.595
Dolní Poustevna,50.9825,14.2868
Dubí,50.681,13.7888
Duchcov,50.6038,13.7462
Děčín,50.7822,14.2148
Horní Jiřetín,50.5731,13.5472
Hostomice,50.5877,13.808
Hošťka,50.4886,14.335
Hrob,50.6592,13.7268
Jirkov,50.4998,13.4477
Jiříkov,50.9951,14.5691
Jílové,50.7608,14.1038
Kadaň,50.376,13.2713
Klášterec nad Ohří,50.3845,13.1713
Kovářská,50.4382,13.0539
Košťany,50.6551,13.7555
Krupka,50.6845,13.8582
Kryry,50.1744,13.4266
Krásná Lípa,50.913,14.51
Křešice,50.5226,14.2145
Lenešice,50.3752,13.7659
Libochovice,50.4063,14.0444
Libouchec,50.7585,14.0407
Liběšice,50.5689,14.2891
Litoměřice,50.5335,14.1318
Litvínov,50.6042,13.6181
Lom u Mostu,50.5933,13.6573
Louny,50.357,13.7967
Lovosice,50.515,14.051
Lubenec,50.1321,13.3132
Meziboři,50.6212,13.5987
Mikulášovice,50.9651,14.3637
Most,50.503,13.6362
Měcholupy,50.2667,13.5374
Novosedlice,50.6563,13.823
Obrnice,50.505,13.6954
Osek,50.6227,13.6859
Peruc,50.3425,13.9599
Perštejn,50.3817,13.1102
Podbořany,50.2294,13.4119
Polepy,50.5056,14.2645
Postoloprty,50.3598,13.7029
Povrly,50.6728,14.1603
Proboštov,50.6677,13.836
Radonice,50.298,13.2846
Roudnice nad Labem,50.4253,14.2618
Rumburk,50.9515,14.557
Staré Křečany,50.9504,14.4962
Teplice,50.6404,13.8245
Terezín,50.511,14.1505
Trmice,50.6429,13.9945
Třebenice,50.4763,13.99
Varnsdorf,50.9115,14.6182
Vejprty,50.4923,13.0321
Velemín,50.539,13.9768
Velké Březno,50.6627,14.1417
Velký Šenov,50.9908,14.3743
Verneřice,50.6611,14.3011
Vilémov,50.9905,14.3353
Vroutek,50.18,13.3799
Zabrušany,50.6049,13.7875
Údlice,50.4406,13.4574
Ústí nad Labem,50.6607,14.0323
Úštěk,50.5847,14.3433
Černčice,50.3614,13.8452
Česká Kamenice,50.7978,14.4177
Čížkovice,50.4842,14.0284
Řehlovice,50.6071,13.9541
Šluknov,51.0037,14.4526
Štětí,50.453,14.3742
Žatec,50.3272,13.5458
Žitenice,50.5553,14.1566
