<SIZE>63
<LANG>EN
<STATE>Vysočina,VY
Batelov,49.3143,15.3947
Bohdalov,49.4792,15.8758
Brtnice,49.3069,15.6764
Budišov,49.2714,16.0038
Bystřice nad Pernštejnem,49.5229,16.2615
Chotěboř,49.7207,15.6702
Dobronín,49.4783,15.6499
Dolní Cerekev,49.3445,15.4565
Dolní Loućky,49.361,16.3587
Golčův Jeníkov,49.8163,15.4769
Habry,49.756,15.4849
Havlíčkův Brod,49.6078,15.5807
Herálec,49.6889,15.9943
Horní Cerekev,49.3203,15.3277
Hrotovice,49.1077,16.0607
Humpolec,49.5415,15.3593
Jaroměřice nad Rokytnou,49.0941,15.8933
Jemnice,49.019,15.5699
Jihlava,49.3961,15.5912
Jimramov,49.6372,16.2263
Kamenice,49.3666,15.7802
Kamenice nad Lipou,49.303,15.0752
Kněžice,49.2708,15.6722
Křižanov,49.3886,16.1096
Křížová,49.6884,15.8521
Ledeč nad Sázavou,49.6952,15.2777
Luka nad Jihlavou,49.374,15.7019
Lukavec,49.5654,14.9904
Lípa,49.5542,15.5447
Mohelno,49.1141,16.1902
Moravské Budějovice,49.0521,15.8086
Měřín,49.3932,15.8838
Nedvědice,49.457,16.3341
Nová Cerekev,49.4172,15.1167
Nové Město na Moravě,49.5614,16.0742
Nové Syrovice,49.0176,15.7735
Nové Veselí,49.5198,15.9085
Náměšť nad Oslavou,49.2073,16.1585
Okrouhlice,49.6299,15.4908
Okříšky,49.2454,15.7696
Pacov,49.4708,15.0017
Pelhřimov,49.4313,15.2234
Polná,49.487,15.7188
Počátky,49.2602,15.2402
Přibyslav,49.5768,15.7385
Rouchovany,49.0704,16.1076
Stařeč,49.1978,15.8279
Svratka,49.7107,16.0321
Světlá nad Sázavou,49.668,15.4039
Telč,49.1842,15.4528
Třebíč,49.2149,15.8817
Třešť,49.2909,15.4821
Velká Bíteš,49.2886,16.2259
Velké Meziříčí,49.3552,16.0122
Velký Beranov,49.405,15.667
Vilémov,49.8157,15.5358
Vladislav,49.2102,15.9883
Černovice,49.3727,14.9609
Štoky,49.5025,15.5886
Želetava,49.1419,15.673
Želiv,49.5298,15.2218
Žirovnice,49.2532,15.1882
Žďár nad Sázavou,49.5626,15.9392
