<SIZE>94
<LANG>EN
<STATE>Zlínský Kraj,ZL
Babice,49.1217,17.4807
Bojkovice,49.0386,17.8149
Boršice,49.0625,17.3508
Buchlovice,49.0863,17.3385
Bystřice pod Hostýnem,49.3992,17.674
Bánov,48.988,17.7175
Bílovice,49.0997,17.5496
Březnice,49.1864,17.6628
Březolupy,49.1214,17.5803
Březová,48.9254,17.7399
Chropyně,49.3564,17.3645
Chvalčov,49.3892,17.7115
Dolní Bečva,49.455,18.1942
Dolní Němčí,48.9684,17.5859
Francova Lhota,49.2017,18.1117
Fryšták,49.2852,17.6835
Halenkov,49.3174,18.1475
Halenkovice,49.171,17.4716
Hluk,48.9881,17.5267
Holešov,49.3333,17.5783
Horní Bečva,49.4322,18.2886
Horní Lideč,49.1812,18.061
Hovězí,49.3036,18.0606
Hošťálková,49.3547,17.8694
Hulín,49.3169,17.4637
Hvozdná,49.2485,17.7516
Jablůnka,49.3836,17.9502
Jalubí,49.1163,17.4279
Karolinka,49.3513,18.2401
Kelč,49.4784,17.8153
Kněžpole,49.0985,17.5167
Koryčany,49.1064,17.1643
Kroměříž,49.2979,17.3931
Kunovice,49.045,17.4701
Kvasice,49.2422,17.4697
Lešná,49.5206,17.93
Lidečko,49.203,18.0513
Liptál,49.2905,17.9218
Luhačovice,49.0998,17.7575
Lukov,49.2903,17.7296
Mistřice,49.0867,17.536
Napajedla,49.1716,17.5119
Nedakonice,49.0316,17.3814
Nedašov,49.1078,18.0704
Nivnice,48.9746,17.6476
Nový Hrozenkov,49.337,18.1979
Ostrožská Lhota,48.9756,17.4675
Ostrožská Nová Ves,49.0043,17.4363
Otrokovice,49.2093,17.5394
Polešovice,49.0339,17.3406
Popovice,49.0526,17.5271
Pozlovice,49.1292,17.7693
Prostřední Bečva,49.4361,18.252
Prusinovice,49.379,17.5871
Rataje,49.2713,17.3355
Ratiboř,49.3677,17.915
Rožnov pod Radhoštěm,49.4585,18.143
Slavičín,49.088,17.8735
Slušovice,49.2478,17.8015
Spytihněv,49.1412,17.4981
Staré Město,49.0751,17.4334
Strání,48.9022,17.7067
Suchá Loz,48.97,17.7138
Tečovice,49.2211,17.5873
Tlumačov,49.2535,17.4956
Topolná,49.1219,17.5443
Traplice,49.1309,17.4362
Trnava,49.296,17.8419
Tupesy,49.0843,17.3698
Uherské Hradiště,49.0697,17.4597
Uherský Brod,49.0251,17.6472
Uherský Ostroh,48.9856,17.3898
Valašská Bystřice,49.4151,18.1098
Valašská Polanka,49.2621,17.9967
Valašské Klobouky,49.1406,18.0076
Valašské Meziříčí,49.4718,17.9711
Velehrad,49.1054,17.3943
Velké Karlovice,49.3606,18.2836
Vidče,49.4415,18.0947
Vizovice,49.2229,17.8545
Vlachovice,49.1238,17.94
Vlčnov,49.0099,17.5818
Vsetín,49.3387,17.9962
Všemina,49.281,17.8768
Zašová,49.4741,18.0444
Zborovice,49.2489,17.2846
Zdounky,49.2277,17.319
Zlechov,49.074,17.3794
Zlín,49.2167,17.6667
Zubří,49.466,18.0925
Záhorovice,49.0227,17.7792
Újezd,49.1681,17.9061
Šumice,49.0286,17.722
Žlutava,49.1998,17.4904
