<SIZE>52
<LANG>EN
<STATE>Hradec Kralove,none
Chlumec nad Cidlinou,50.1544,15.4603
Desná,50.7599,15.3028
Dvůr Králové nad Labem,50.4317,15.814
Frýdlant,50.9214,15.0797
Harrachov,50.7721,15.4314
Hejnice,50.8772,15.1817
Hodkovice nad Mohelkou,50.6659,15.0899
Hostinné,50.5407,15.7233
Hořice,50.3661,15.6318
Jablonec nad Jizerou,50.7035,15.4296
Jaroměř,50.3562,15.9214
Jilemnice,50.6089,15.5065
Josefův Důl,50.7819,15.2315
Kopidlno,50.3309,15.2703
Kořenov,50.7593,15.3653
Košťálov,50.5717,15.404
Libáň,50.3754,15.2168
Lomnice nad Popelkou,50.5306,15.3734
Lázně Bělohrad,50.4287,15.5827
Mladé Buky,50.6064,15.8335
Mníšek,50.8316,15.0563
Mostek,50.4862,15.6962
Nechanice,50.2374,15.6328
Nová Paka,50.4945,15.515
Nové Město pod Smrkem,50.9249,15.2294
Nový Bydžov,50.2415,15.4908
Ostroměř,50.3725,15.5495
Pecka,50.4803,15.6082
Pilníkov,50.5325,15.8202
Poniklá,50.6615,15.4633
Raspenava,50.9042,15.1146
Rokytnice nad Jizerou,50.7256,15.4336
Rovensko pod Troskami,50.5353,15.2594
Rudník,50.5784,15.7373
Smiřice,50.2998,15.8651
Smržovka,50.7382,15.2464
Sobotka,50.4674,15.1762
Stará Paka,50.5103,15.4944
Studenec,50.5534,15.5494
Svoboda nad Úpou,50.626,15.8165
Tanvald,50.7374,15.3059
Turnov,50.5873,15.1568
Třebechovice pod Orebem,50.201,15.9922
Velké Hamry,50.7137,15.3154
Višňova,50.9666,15.0249
Vrchlabí,50.627,15.6094
Všestary,50.2566,15.7598
Černilov,50.2626,15.9225
Špindlerův Mlýn,50.7262,15.6094
Žacléř,50.6633,15.9106
Železnice,50.4727,15.3846
Železný Brod,50.6427,15.2541
