<SIZE>66
<LANG>EN,DE
<STATE>Brandenburg,BR
Angermünde,Angermünde,53.0333,14
Bad Freienwalde,Bad Freienwalde,52.7833,14.0333
Bad Liebenwerda,Bad Liebenwerda,51.5167,13.4
Beelitz,Beelitz,52.2333,12.9667
Beeskow,Beeskow,52.1667,14.25
Belzig,Belzig,52.1333,12.6
Bernau,Bernau,52.6667,13.5833
Brandenburg,Brandenburg an der Havel,52.4167,12.55
Brieselang,Brieselang,52.5833,13
Cottbus,Cottbus,51.7667,14.3333
Doberlug-Kirchhain,Doberlug-Kirchhain,51.6167,13.5667
Eberswalde,Eberswalde,52.8,13.8
Eisenhüttenstadt,Eisenhüttenstadt,52.15,14.65
Erkner,Erkner,52.4167,13.75
Falkensee,Falkensee,52.5667,13.0833
Finsterwalde,Finsterwalde,51.6333,13.7167
Forst,Forst,51.7333,14.6333
Frankfurt (Oder),Frankfurt (Oder),52.4,14.6
Fürstenwalde,Fürstenwalde,52.3667,14.0667
Großräschen,Großräschen,51.5833,14
Guben,Guben,51.95,14.7167
Hennigsdorf,Hennigsdorf,52.636,13.2042
Herzberg,Herzberg,51.6869,13.2202
Hohen Neuendorf,Hohen Neuendorf,52.6667,13.2833
Jüterbog,Jüterbog,51.9833,13.0833
Kleinmachnow,Kleinmachnow,52.4,13.25
Kolkwitz,Kolkwitz,51.75,14.25
Kyritz,Kyritz,52.95,12.4
Königs Wusterhausen,Königs Wusterhausen,52.2833,13.6167
Lauchhammer,Lauchhammer,51.5,13.8
Letschin,Letschin,52.6442,14.3626
Luckau,Luckau,51.85,13.7167
Luckenwalde,Luckenwalde,52.0833,13.1667
Ludwigsfelde,Ludwigsfelde,52.3,13.2667
Lübben,Lübben,51.95,13.9
Lübbenau,Lübbenau,51.8667,13.9667
Michendorf,Michendorf,52.3,13.0167
Nauen,Nauen,52.6,12.8833
Neuenhagen,Neuenhagen,52.5333,13.6833
Neuruppin,Neuruppin,52.9333,12.8
Oranienburg,Oranienburg,52.75,13.2333
Perleberg,Perleberg,53.0667,11.8667
Petershagen,Petershagen,52.5167,13.7833
Potsdam,Potsdam,52.3989,13.0657
Premnitz,Premnitz,52.5333,12.3333
Prenzlau,Prenzlau,53.3167,13.8667
Pritzwalk,Pritzwalk,53.15,12.1833
Rathenow,Rathenow,52.6,12.3333
Schwedt (Oder),Schwedt (Oder),53.0667,14.3
Schönefeld,Schönefeld,52.3833,13.5167
Schöneiche,Schöneiche,52.4667,13.6833
Senftenberg,Senftenberg,51.5167,14.0167
Spremberg,Spremberg,51.5697,14.3736
Stahnsdorf,Stahnsdorf,52.3833,13.2167
Strausberg,Strausberg,52.5833,13.8833
Teltow,Teltow,52.4,13.2667
Templin,Templin,53.1167,13.5
Velten,Velten,52.6833,13.1833
Wandlitz,Wandlitz,52.75,13.45
Werder,Werder,52.3787,12.934
Wittenberge,Wittenberge,53,11.75
Wittstock,Wittstock,53.15,12.5
Zehdenick,Zehdenick,52.9833,13.3333
Zeuthen,Zeuthen,52.3667,13.6167
Zossen,Zossen,52.2167,13.45
