<SIZE>236
<LANG>EN,DE
<STATE>Baden-Württemberg,BW
Aalen,Aalen,48.8333,10.1
Achern,Achern,48.6311,8.07607
Albstadt,Albstadt,48.25,9.01667
Altensteig,Altensteig,48.5833,8.6
Asperg,Asperg,48.9,9.11667
Aulendorf,Aulendorf,47.95,9.63333
Backnang,Backnang,48.95,9.43333
Bad Dürrheim,Bad Dürrheim,48.0167,8.53333
Bad Mergentheim,Bad Mergentheim,49.4925,9.77361
Bad Rappenau,Bad Rappenau,49.2406,9.1025
Bad Säckingen,Bad Säckingen,47.5537,7.94612
Bad Urach,Bad Urach,48.5,9.4
Bad Waldsee,Bad Waldsee,47.9167,9.76667
Bad Wildbad im Schwarzwald,Bad Wildbad im Schwarzwald,48.75,8.55
Bad Wurzach,Bad Wurzach,47.9,9.9
Baden-Baden,Baden-Baden,48.75,8.25
Baiersbronn,Baiersbronn,48.5,8.38333
Balingen,Balingen,48.2833,8.85
Besigheim,Besigheim,48.9833,9.13333
Biberach an der Riß,Biberach an der Riß,48.1,9.8
Bietigheim-Bissingen,Bietigheim-Bissingen,48.9667,9.13333
Birkenfeld,Birkenfeld,48.8667,8.63333
Blaubeuren,Blaubeuren,48.4,9.78333
Blumberg,Blumberg,47.8333,8.53333
Bopfingen,Bopfingen,48.85,10.35
Brackenheim,Brackenheim,49.0797,9.065
Breisach,Breisach am Rhein,48.0333,7.58333
Bretten,Bretten,49.0392,8.70278
Bretzfeld,Bretzfeld,49.1794,9.43833
Bruchsal,Bruchsal,49.1281,8.58361
Brühl,Brühl,49.3972,8.53361
Buchen,Buchen,49.5239,9.32306
Burladingen,Burladingen,48.2833,9.11667
Böblingen,Böblingen,48.6833,9.01667
Bühl,Bühl,48.7,8.15
Calw,Calw,48.7167,8.73333
Crailsheim,Crailsheim,49.15,10.0833
Denkendorf,Denkendorf,48.6833,9.31667
Denzlingen,Denzlingen,48.0667,7.88333
Ditzingen,Ditzingen,48.8333,9.06667
Donaueschingen,Donaueschingen,47.95,8.5
Donzdorf,Donzdorf,48.6854,9.81053
Dossenheim,Dossenheim,49.4503,8.67472
Durmersheim,Durmersheim,48.9333,8.26667
Eberbach,Eberbach,49.4694,8.99278
Ebersbach an der Fils,Ebersbach an der Fils,48.7167,9.53333
Edingen-Neckarhausen,Edingen-Neckarhausen,49.4572,8.60639
Eggenstein-Leopoldshafen,Eggenstein-Leopoldshafen,49.0953,8.39056
Ehingen,Ehingen,48.2833,9.73333
Eislingen,Eislingen,48.6952,9.70676
Ellwangen,Ellwangen,48.9667,10.1333
Emmendingen,Emmendingen,48.121,7.85359
Engen,Engen,47.85,8.76667
Eningen unter Achalm,Eningen unter Achalm,48.4833,9.25
Eppelheim,Eppelheim,49.4025,8.63306
Eppingen,Eppingen,49.1369,8.91028
Erbach,Erbach,48.3333,9.88333
Esslingen am Neckar,Esslingen am Neckar,48.75,9.3
Ettenheim,Ettenheim,48.25,7.81667
Ettlingen,Ettlingen,48.95,8.4
Fellbach,Fellbach,48.8,9.28333
Filderstadt,Filderstadt,48.6667,9.21667
Freiberg am Neckar,Freiberg am Neckar,48.9333,9.2
