<SIZE>226
<LANG>EN,DE
<STATE>Bavaria,BY
Abensberg,Abensberg,48.8167,11.85
Aichach,Aichach,48.4576,11.1341
Ainring,Ainring,47.8167,12.95
Altdorf,Altdorf,49.3875,11.3572
Altötting,Altötting,48.2333,12.6833
Alzenau in Unterfranken,Alzenau in Unterfranken,50.0833,9.06667
Amberg,Gebenbach,49.4414,11.8622
Ansbach,Ansbach,49.3,10.5833
Aschaffenburg,Aschaffenburg,49.9739,9.14917
Augsburg,Augsburg,48.3667,10.8833
Bad Abbach,Bad Abbach,48.9333,12.05
Bad Aibling,Bad Aibling,47.8638,12.0105
Bad Kissingen,Bad Kissingen,50.2,10.0833
Bad Neustadt an der Saale,Bad Neustadt an der Saale,50.3333,10.2167
Bad Reichenhall,Bad Reichenhall,47.7333,12.8833
Bad Tölz,Bad Tölz,47.7611,11.5589
Bad Windsheim,Bad Windsheim,49.5,10.4167
Bad Wörishofen,Bad Wörishofen,48.0167,10.6
Bamberg,Bamberg,49.8667,10.8667
Bayreuth,Bayreuth,49.9481,11.5783
Bobingen,Bobingen,48.2667,10.8333
Bogen,Bogen,48.9167,12.6833
Bruckmühl,Bruckmühl,47.8833,11.9167
Buchloe,Buchloe,48.0333,10.7333
Burghausen,Burghausen,48.1667,12.8333
Burgkirchen an der Alz,Burgkirchen an der Alz,48.1667,12.7333
Burglengenfeld,Burglengenfeld,49.2056,12.0414
Burgthann,Burgthann,49.35,11.3
Cadolzburg,Cadolzburg,49.45,10.8667
Cham,Cham,49.2256,12.6636
Coburg,Landkreis Coburg,50.2667,10.9667
Dachau,Dachau,48.2667,11.4333
Deggendorf,Deggendorf,48.8333,12.9667
Diedorf,Diedorf,48.35,10.7667
Dießen am Ammersee,Dießen am Ammersee,47.95,11.1
Dillingen an der Donau,Dillingen an der Donau,48.5667,10.4833
Dingolfing,Dingolfing,48.6333,12.5
Dinkelsbühl,Dinkelsbühl,49.0667,10.3167
Donauwörth,Donauwörth,48.7,10.8
Dorfen,Dorfen,48.2667,12.15
Ebersberg,Ebersberg,48.0771,11.9706
Eching,Eching,48.3,11.6167
Eggenfelden,Eggenfelden,48.4,12.7667
Eichenau,Eichenau,48.1667,11.3167
Eichstätt,Eichstätt,48.8833,11.1833
Ergolding,Ergolding,48.5833,12.1667
Erlangen,Erlangen,49.5897,11.0039
Erlenbach am Main,Erlenbach am Main,49.8039,9.16389
Essenbach,Essenbach,48.6167,12.2167
Feldkirchen-Westerham,Feldkirchen-Westerham,47.9075,11.8427
Feucht,Feucht,49.3767,11.2139
Feuchtwangen,Feuchtwangen,49.1667,10.3333
Forchheim,Forchheim,49.7231,11.0669
Freilassing,Freilassing,47.85,12.9833
Freising,Freising,48.4,11.7333
Friedberg,Friedberg,48.3569,10.9846
Fürstenfeldbruck,Fürstenfeldbruck,48.1752,11.2596
Fürth,Fürth,49.4667,10.9667
Füssen,Füssen,47.5714,10.7017
Gaimersheim,Gaimersheim,48.8071,11.368
Garching bei München,Garching bei München,48.25,11.65
Garmisch-Partenkirchen,Garmisch-Partenkirchen,47.4921,11.0958
Gauting,Gauting,48.0692,11.377
Gemünden,Gemünden,50.05,9.7
Geretsried,Geretsried,47.8577,11.4805
Germering,Germering,48.1333,11.3667
Gersthofen,Gersthofen,48.4167,10.8833
Gilching,Gilching,48.1167,11.3
Goldbach,Goldbach,49.9889,9.18639
Grafing bei München,Grafing bei München,48.046,11.968
Großostheim,Großostheim,49.9211,9.08139
Gräfelfing,Gräfelfing,48.1188,11.4294
Gröbenzell,Gröbenzell,48.2,11.3667
Grünwald,Grünwald,48.0395,11.5232
Gunzenhausen,Gunzenhausen,49.1,10.75
Günzburg,Günzburg,48.45,10.2667
Haar,Haar,48.1088,11.7265
Hammelburg,Hammelburg,50.1167,9.9
Hauzenberg,Hauzenberg,48.65,13.6333
Haßfurt,Haßfurt,50.0333,10.5
Herrsching am Ammersee,Herrsching am Ammersee,48,11.1833
Hersbruck,Hersbruck,49.5125,11.4339
Herzogenaurach,Herzogenaurach,49.55,10.8833
Hilpoltstein,Hilpoltstein,49.19,11.1886
Hirschaid,Hirschaid,49.8194,10.9908
Hof,Hof,50.3167,11.9167
Holzkirchen,Holzkirchen,47.8766,11.7018
Höchstadt an der Aisch,Höchstadt an der Aisch,49.7,10.8
Hösbach,Hösbach,50,9.2
Illertissen,Illertissen,48.2167,10.1
Immenstadt im Allgäu,Immenstadt im Allgäu,47.5667,10.2167
Ingolstadt,Ingolstadt,48.7667,11.4333
Ismaning,Ismaning,48.2333,11.6833
Karlsfeld,Karlsfeld,48.2167,11.4667
Karlstadt,Karlstadt,49.9603,9.77222
Kaufbeuren,Kaufbeuren,47.8833,10.6167
Kelheim,Kelheim,48.9167,11.8667
Kempten (Allgäu),Kempten (Allgäu),47.7267,10.3139
Kissing,Kissing,48.3037,10.9709
Kitzingen,Kitzingen,49.7333,10.1667
Kolbermoor,Kolbermoor,47.85,12.0667
Kronach,Kronach,50.2333,11.3167
Krumbach,Krumbach,48.25,10.3667
Kulmbach,Kulmbach,50.1,11.45
Königsbrunn,Königsbrunn,48.2667,10.8833
Kümmersbruck,Kümmersbruck,49.4192,11.8883
Landau an der Isar,Landau an der Isar,48.6725,12.6932
Landsberg am Lech,Landsberg am Lech,48.0482,10.8828
Landshut,Landshut,48.5333,12.15
Langenzenn,Langenzenn,49.5,10.8
Lappersdorf,Lappersdorf,49.0569,12.09
