<SIZE>194
<LANG>EN,DE
<STATE>Niedersachsen,NI
Achim,Achim,53.0142,9.0263
Aerzen,Aerzen,52.0495,9.25856
Alfeld,Alfeld,51.9833,9.83333
Apen,Apen,53.2167,7.8
Aurich,Aurich,53.4667,7.48333
Bad Bentheim,Bad Bentheim,52.3167,7.16667
Bad Essen,Bad Essen,52.3167,8.33333
Bad Gandersheim,Bad Gandersheim,51.8667,10.0333
Bad Harzburg,Bad Harzburg,51.8833,10.5667
Bad Iburg,Bad Iburg,52.1549,8.04216
Bad Lauterberg,Bad Lauterberg,51.65,10.4667
Bad Münder am Deister,Bad Münder am Deister,52.2,9.46667
Bad Nenndorf,Bad Nenndorf,52.3333,9.36667
Bad Pyrmont,Bad Pyrmont,51.9833,9.25
Bad Salzdetfurth,Bad Salzdetfurth,52.05,10
Bad Zwischenahn,Bad Zwischenahn,53.1833,8
Barsinghausen,Barsinghausen,52.3,9.45
Barßel,Barßel,53.1667,7.73333
Bassum,Bassum,52.85,8.73333
Belm,Belm,52.3,8.13333
Bergen,Bergen,52.8167,9.96667
Bissendorf,Bissendorf,52.2333,8.16667
Bockenem,Bockenem,52.0167,10.1333
Bohmte,Bohmte,52.3667,8.31667
Bovenden,Bovenden,51.5833,9.93333
Bramsche,Bramsche,52.4,7.98333
Braunschweig,Braunschweig,52.2667,10.5333
Bremervörde,Bremervörde,53.4833,9.13333
Buchholz in der Nordheide,Buchholz in der Nordheide,53.3333,9.86667
Burgdorf,Burgdorf,52.45,10.0167
Buxtehude,Buxtehude,53.45,9.7
Bückeburg,Bückeburg,52.2667,9.05
Celle,Celle,52.6167,10.0833
Clausthal-Zellerfeld,Clausthal-Zellerfeld,51.8,10.3333
Cloppenburg,Cloppenburg,52.85,8.03333
Cremlingen,Cremlingen,52.25,10.65
Cuxhaven,Cuxhaven,53.8718,8.69087
Damme,Damme,52.5167,8.2
Dassel,Dassel,51.8033,9.6884
Delmenhorst,Delmenhorst,53.05,8.61667
Diepholz,Diepholz,52.6,8.36667
Dinklage,Dinklage,52.65,8.11667
Drochtersen,Drochtersen,53.7,9.38333
Duderstadt,Duderstadt,51.5131,10.2595
Edemissen,Edemissen,52.3833,10.2667
Edewecht,Edewecht,53.1333,7.98333
Einbeck,Einbeck,51.8167,9.86667
Emden,Emden,53.3667,7.21667
Emstek,Emstek,52.8333,8.15
Fallingbostel,Fallingbostel,52.8667,9.7
Friedeburg,Friedeburg,53.45,7.83333
Friedland,Friedland,51.4167,9.93333
Friesoythe,Friesoythe,53.0167,7.85
Ganderkesee,Ganderkesee,53.0333,8.53333
Garbsen,Garbsen,52.4167,9.6
Garrel,Garrel,52.95,8.01667
Geeste,Geeste,52.6,7.26667
Gehrden,Gehrden,52.3136,9.60033
Georgsmarienhütte,Georgsmarienhütte,52.2,8.05
Gifhorn,Gifhorn,52.4833,10.55
Goslar,Goslar,51.9,10.4333
Großenkneten,Großenkneten,52.95,8.26667
Göttingen,Göttingen,51.5333,9.93333
Hagen,Hagen,52.2,7.98333
Hambühren,Hambühren,52.6333,9.98333
Hamelin,Hameln,52.1,9.35

Hannoversch Münden,Hann. Münden,51.4151,9.65046
Hanover,Hannover,52.3705,9.73322
