<SIZE>329
<LANG>EN,DE
<STATE>Nordrhein-Westfalen,NW
Aachen,Aachen,50.7708,6.10528
Ahaus,Ahaus,52.0667,7
Ahlen,Ahlen,51.75,7.91667
Aldenhoven,Aldenhoven,50.9,6.28333
Alfter,Alfter,50.7333,7.01667
Alpen,Alpen,51.5833,6.51667
Alsdorf,Alsdorf,50.8833,6.16667
Altena,Altena,51.3,7.66667
Anröchte,Anröchte,51.5667,8.33333
Arnsberg,Arnsberg,51.3833,8.08333
Ascheberg,Ascheberg,51.7833,7.61667
Attendorn,Attendorn,51.1264,7.90333
Bad Berleburg,Bad Berleburg,51.05,8.4
Bad Driburg,Bad Driburg,51.7333,9.01667
Bad Honnef am Rhein,Bad Honnef am Rhein,50.6333,7.23333
Bad Laasphe,Bad Laasphe,50.9333,8.4
Bad Lippspringe,Bad Lippspringe,51.7833,8.81667
Bad Münstereifel,Bad Münstereifel,50.55,6.76667
Bad Oeynhausen,Bad Oeynhausen,52.2,8.8
Bad Salzuflen,Bad Salzuflen,52.0862,8.74434
Bad Sassendorf,Bad Sassendorf,51.5833,8.16667
Baesweiler,Baesweiler,50.9,6.18333
Bahnhof Löhne,Bahnhof Löhne,52.2,8.71667
Balve,Balve,51.3333,7.86667
Beckum,Beckum,51.75,8.03333
Bedburg,Bedburg,50.9926,6.57128
Bergheim,Bergheim,50.9557,6.63986
Bergisch Gladbach,Bergisch Gladbach,50.9833,7.13333
Bergkamen,Bergkamen,51.6333,7.63333
Bergneustadt,Bergneustadt,51.0333,7.65
Bestwig,Bestwig,51.3667,8.4
Beverungen,Beverungen,51.6667,9.36667
Bielefeld,Bielefeld,52.0333,8.53333
Billerbeck,Billerbeck,51.9667,7.3
Blomberg,Blomberg,51.9433,9.09067
Bocholt,Bocholt,51.8333,6.6
Bochum,Bochum,51.4833,7.21667
Bonn,Bonn,50.7333,7.1
Borken,Borken,51.85,6.86667
Bornheim,Bornheim,50.7667,7
Bottrop,Bottrop,51.5167,6.91667
Brakel,Brakel,51.7167,9.18333
Brilon,Brilon,51.4,8.58333
Brüggen,Brüggen,51.2405,6.18376
Brühl,Brühl,50.8333,6.9
Burbach,Burbach,50.75,8.08333
Burscheid,Burscheid,51.1,7.11667
Bönen,Bönen,51.6,7.76667
Bünde,Bünde,52.2,8.58333
Büren,Büren,51.55,8.56667
Castrop-Rauxel,Castrop-Rauxel,51.55,7.31667
Coesfeld,Coesfeld,51.9333,7.15
Cologne,Köln,50.9333,6.95
Datteln,Datteln,51.6667,7.38333
Delbrück,Delbrück,51.7667,8.56667
Detmold,Detmold,51.9385,8.87318
Dinslaken,Dinslaken,51.5667,6.73333
Dormagen,Dormagen,51.1,6.83333
Dorsten,Dorsten,51.6667,6.96667
Dortmund,Dortmund,51.5167,7.45
Drensteinfurt,Drensteinfurt,51.7953,7.73815
Drolshagen,Drolshagen,51.0167,7.76667
Duisburg,Duisburg,51.4333,6.75
Dülmen,Dülmen,51.8333,7.3
Düren,Düren,50.8,6.48333
Düsseldorf,Düsseldorf,51.2217,6.77616
Eitorf,Eitorf,50.7667,7.45
Elsdorf,Elsdorf,50.9374,6.56828
Emmerich,Emmerich,51.8333,6.25
Emsdetten,Emsdetten,52.1833,7.53333
Engelskirchen,Engelskirchen,50.9833,7.4
Enger,Enger,52.1333,8.56667
Ennepetal,Ennepetal,51.3,7.35
Ennigerloh,Ennigerloh,51.8333,8.01667
Erftstadt,Erftstadt,50.8167,6.76667
Erkelenz,Erkelenz,51.0833,6.31667
Erkrath,Erkrath,51.2167,6.9
Erwitte,Erwitte,51.6167,8.35
Eschweiler,Eschweiler,50.8167,6.28333
Espelkamp,Espelkamp,52.3833,8.61667
Essen,Essen,51.45,7.01667
Euskirchen,Euskirchen,50.6667,6.78333
Finnentrop,Finnentrop,51.1667,7.96667
Frechen,Frechen,50.9167,6.81667
Freudenberg,Freudenberg,50.9,7.86667
Fröndenberg,Fröndenberg,51.4667,7.76667
Gangelt,Gangelt,50.9833,6
Geilenkirchen,Geilenkirchen,50.9667,6.11667
Geldern,Geldern,51.5167,6.33333
Gelsenkirchen-Alt,Gelsenkirchen-Alt,51.5,7.1
Gescher,Gescher,51.95,7.01667
Geseke,Geseke,51.65,8.51667
Gevelsberg,Gevelsberg,51.3167,7.33333
Gladbeck,Gladbeck,51.5667,6.98333
Goch,Goch,51.6667,6.16667
Grefrath,Grefrath,51.3,6.31667
Greven,Greven,52.0936,7.59396
Grevenbroich,Grevenbroich,51.091,6.5827
Gronau,Gronau,52.2,7.03333
Gummersbach,Gummersbach,51.0333,7.55
Gütersloh,Gütersloh,51.9,8.38333
Haan,Haan,51.2,7
Hagen,Hagen,51.35,7.46667
Halle,Halle,52.0667,8.36667
Haltern,Haltern,51.7333,7.18333
Halver,Halver,51.2,7.48333
Hamm,Hamm,51.6803,7.82089
Hamminkeln,Hamminkeln,51.7333,6.58333
Harsewinkel,Harsewinkel,51.9667,8.23333
Hattingen,Hattingen,51.4,7.16667
Havixbeck,Havixbeck,51.9833,7.41667
Heiligenhaus,Heiligenhaus,51.3167,6.96667
Heinsberg,Heinsberg,51.0667,6.08333
Hemer,Hemer,51.3833,7.76667
Hennef,Hennef,50.7833,7.28333
Herdecke,Herdecke,51.4,7.43333
Herford,Herford,52.1333,8.68333
Herne,Herne,51.55,7.21667
Herten,Herten,51.6,7.13333
Herzogenrath,Herzogenrath,50.8667,6.1
Hiddenhausen,Hiddenhausen,52.1667,8.61667
Hilchenbach,Hilchenbach,50.9833,8.1
Hilden,Hilden,51.1667,6.93333
Hille,Hille,52.3333,8.75
Holzwickede,Holzwickede,51.5,7.63333
Hörstel,Hörstel,52.3167,7.58333
Hövelhof,Hövelhof,51.8167,8.65
Höxter,Höxter,51.7667,9.38333
Hückelhoven,Hückelhoven,51.05,6.21667
Hückeswagen,Hückeswagen,51.15,7.35
Hüllhorst,Hüllhorst,52.2833,8.66667
Hünxe,Hünxe,51.65,6.78333
Hürth,Hürth,50.8667,6.86667
Ibbenbüren,Ibbenbüren,52.2667,7.73333
Iserlohn,Iserlohn,51.3667,7.7
Isselburg,Isselburg,51.8333,6.46667
Issum,Issum,51.5333,6.43333
Jüchen,Jüchen,51.1,6.5
Jülich,Jülich,50.9333,6.36667
Kaarst,Kaarst,51.2333,6.61667
Kalkar,Kalkar,51.7333,6.3
Kall,Kall,50.55,6.55
Kamen,Kamen,51.6,7.66667
Kamp-Lintfort,Kamp-Lintfort,51.5,6.53333
Kempen,Kempen,51.3667,6.41667
Kerpen,Kerpen,50.8667,6.7
Kevelaer,Kevelaer,51.5833,6.25
Kierspe,Kierspe,51.1333,7.58333
Kirchhundem,Kirchhundem,51.1,8.1
Kirchlengern,Kirchlengern,52.2,8.63333
Klein Reken,Klein Reken,51.7833,7.03333
Kleve,Kleve,51.7833,6.15
Korschenbroich,Korschenbroich,51.1914,6.51352
Krefeld,Krefeld,51.3333,6.56667
Kreisfreie Stadt Aachen,Kreisfreie Stadt Aachen,50.8,6.1
Kreuzau,Kreuzau,50.75,6.48333
Kreuztal,Kreuztal,50.9667,7.98333
Königswinter,Königswinter,50.6833,7.18333
Kürten,Kürten,51.05,7.26667
Lage,Lage,51.9922,8.79301
Langenfeld,Langenfeld,51.1,6.95
Langerwehe,Langerwehe,50.8167,6.35
Leichlingen,Leichlingen,51.1167,7.01667
Lemgo,Lemgo,52.0333,8.9
Lengerich,Lengerich,52.1833,7.86667
Lennestadt,Lennestadt,51.1167,8.06667
Leopoldshöhe,Leopoldshöhe,52.0125,8.69834
Leverkusen,Leverkusen,51.0333,7
Lichtenau,Lichtenau,51.6167,8.9
Lindlar,Lindlar,51.0167,7.38333
Linnich,Linnich,50.9833,6.26667
Lippstadt,Lippstadt,51.6667,8.35
Lohmar,Lohmar,50.8333,7.21667
Lotte,Lotte,52.2833,7.91667
Lübbecke,Lübbecke,52.3,8.61667
Lüdenscheid,Lüdenscheid,51.2167,7.61667
Lüdinghausen,Lüdinghausen,51.7667,7.46667
Lügde,Lügde,51.9583,9.24706
Lünen,Lünen,51.6167,7.51667
Marienheide,Marienheide,51.0833,7.53333
Marl,Marl,51.65,7.08333
Marsberg,Marsberg,51.45,8.85
Mechernich,Mechernich,50.6,6.65
Meckenheim,Meckenheim,50.6333,7.01667
Meerbusch,Meerbusch,51.2833,6.66667
Meinerzhagen,Meinerzhagen,51.1167,7.65
Menden,Menden,51.4333,7.8
Meschede,Meschede,51.35,8.28333
Mettingen,Mettingen,52.3167,7.78333
Mettmann,Mettmann,51.25,6.96667
Minden,Minden,52.2833,8.91667
Moers,Moers,51.45,6.65
Monheim,Monheim,51.0833,6.88333
Monschau,Monschau,50.55,6.25
Morsbach,Morsbach,50.8667,7.75
Much,Much,50.9167,7.4
Möhnesee,Möhnesee,51.5,8.13333
Mönchengladbach,Mönchengladbach,51.2,6.43333
Mülheim,Mülheim an der Ruhr,51.4333,6.88333
Münster,Münster,51.9624,7.62571
Netphen,Netphen,50.9167,8.1
Nettetal,Nettetal,51.3167,6.28333
Neuenkirchen,Neuenkirchen,52.2447,7.37183
Neuenrade,Neuenrade,51.2833,7.78333
Neunkirchen,Neunkirchen,50.8,8
Neuss,Neuss,51.2,6.68333
Nideggen,Nideggen,50.7,6.48333
Niederkassel,Niederkassel,50.8167,7.03333
Niederkrüchten,Niederkrüchten,51.2,6.21667
Niederzier,Niederzier,50.8833,6.46667
Nordkirchen,Nordkirchen,51.7333,7.53333
Nottuln,Nottuln,51.9333,7.35
Nörvenich,Nörvenich,50.8,6.65
Nümbrecht,Nümbrecht,50.9,7.55
Oberhausen,Oberhausen,51.4667,6.85
Ochtrup,Ochtrup,52.2167,7.18333
Odenthal,Odenthal,51.0333,7.11667
Oelde,Oelde,51.8167,8.15
Oer-Erkenschwick,Oer-Erkenschwick,51.6333,7.25
Oerlinghausen,Oerlinghausen,51.9545,8.6622
Olfen,Olfen,51.7,7.4
Olpe,Olpe,51.0333,7.85
Olsberg,Olsberg,51.35,8.5
Ostbevern,Ostbevern,52.05,7.85
Overath,Overath,50.95,7.3
Paderborn,Paderborn,51.7191,8.75439
Petershagen,Petershagen,52.3833,8.96667
Plettenberg,Plettenberg,51.2167,7.88333
Porta Westfalica,Porta Westfalica,52.2167,8.93333
Preußisch Oldendorf,Preußisch Oldendorf,52.3,8.5
Pulheim,Pulheim,51,6.8
Radevormwald,Radevormwald,51.2,7.35
Raesfeld,Raesfeld,51.7667,6.85
Rahden,Rahden,52.4333,8.61667
Ratingen,Ratingen,51.2972,6.84929
Recke,Recke,52.3833,7.71667
Recklinghausen,Recklinghausen,51.6167,7.2
Rees,Rees,51.7667,6.4
Remscheid,Remscheid,51.1833,7.2
Rheda-Wiedenbrück,Rheda-Wiedenbrück,51.8333,8.31667
Rhede,Rhede,51.8333,6.7
Rheinbach,Rheinbach,50.6256,6.94911
Rheinberg,Rheinberg,51.55,6.6
Rheine,Rheine,52.2833,7.45
Rietberg,Rietberg,51.8,8.43333
Rommerskirchen,Rommerskirchen,51.0333,6.68333
Rosendahl,Rosendahl,51.7667,7.95
Ruppichteroth,Ruppichteroth,50.85,7.48333
Rödinghausen,Rödinghausen,52.25,8.48333
Rösrath,Rösrath,50.8956,7.18175
Rüthen,Rüthen,51.4909,8.43596
Salzkotten,Salzkotten,51.6717,8.60092
Sankt Augustin,Sankt Augustin,50.7667,7.18333
Sassenberg,Sassenberg,52,8.05
Schalksmühle,Schalksmühle,51.2333,7.53333
Schermbeck,Schermbeck,51.6833,6.86667
Schleiden,Schleiden,50.5333,6.46667
