<SIZE>56
<LANG>EN,DE
<STATE>Rheinland-Pfalz,RP
Alzey,Alzey,49.7517,8.11611
Andernach,Andernach,50.4333,7.4
Bad Dürkheim,Bad Dürkheim,49.4686,8.16639
Bad Kreuznach,Bad Kreuznach,49.8333,7.86667
Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,50.55,7.1
Bendorf,Bendorf,50.4333,7.56667
Betzdorf,Betzdorf,50.7833,7.88333
Bingen am Rhein,Bingen am Rhein,49.9667,7.9
Bitburg,Bitburg,49.9667,6.53333
Bleialf,Bleialf,50.2333,6.28333
Bobenheim-Roxheim,Bobenheim-Roxheim,49.5875,8.35778
Boppard,Boppard,50.2333,7.6
Briedern,Briedern,50.1,7.2
Böhl-Iggelheim,Böhl-Iggelheim,49.3806,8.30389
Dauwelshausen,Dauwelshausen,50,6.18333
Diez,Diez,50.3667,8.01667
Eisenberg,Eisenberg,49.5658,8.07
Frankenthal,Frankenthal,49.5372,8.355
Germersheim,Germersheim,49.2231,8.36389
Gerolstein,Gerolstein,50.2167,6.66667
Grünstadt,Grünstadt,49.5692,8.16806
Hasselbach,Hasselbach,50.7167,7.51667
Haßloch,Haßloch,49.3628,8.25806
Herxheim am Berg,Herxheim am Berg,49.5092,8.17917
Idar-Oberstein,Idar-Oberstein,49.7,7.3
Kaiserslautern,Kaiserslautern,49.45,7.75
Koblenz,Koblenz,50.35,7.6
Konz,Konz,49.7,6.58333
Lahnstein,Lahnstein,50.3,7.61667
Landau,Landau in der Pfalz,49.2075,8.11333
Limburgerhof,Limburgerhof,49.4244,8.39194
Ludwigshafen am Rhein,Ludwigshafen am Rhein,49.4811,8.43528
Mainz,Mainz,50,8.27111
Mayen,Mayen,50.3333,7.21667
Montabaur,Montabaur,50.4333,7.83333
Morbach,Morbach,49.8167,7.11667
Mutterstadt,Mutterstadt,49.4414,8.35611
Mülheim-Kärlich,Mülheim-Kärlich,50.3833,7.5
Neustadt an der Weinstraße,Neustadt an der Weinstraße,49.3567,8.13778
Neuwied,Neuwied,50.4333,7.46667
Nieder-Ingelheim,Nieder-Ingelheim,49.9833,8.06667
Oberrod,Oberrod,50.5833,8.13333
Oestrich-Winkel,Oestrich-Winkel,50,8
Ohlenhard,Ohlenhard,50.45,6.76667
Pirmasens,Pirmasens,49.2,7.6
Remagen,Remagen,50.5667,7.23333
Schifferstadt,Schifferstadt,49.3872,8.37472
Simmern,Simmern,49.9833,7.51667
Sinzig,Sinzig,50.55,7.25
Speyer,Speyer,49.3297,8.42778
Trier,Trier,49.75,6.63333
Wittlich,Wittlich,49.9833,6.88333
Worms,Worms,49.6356,8.35972
Wörth am Rhein,Wörth am Rhein,49.0581,8.24861
Zweibrücken,Zweibrücken,49.25,7.36667
