<SIZE>41
<LANG>EN,DE
<STATE>Sachsen-Anhalt,ST
Aschersleben,Aschersleben,51.75,11.4667
Bad Dürrenberg,Bad Dürrenberg,51.3,12.0667
Bernburg,Bernburg,51.8,11.7333
Blankenburg,Blankenburg,51.7833,10.95
Burg bei Magdeburg,Burg bei Magdeburg,52.2667,11.85
Calbe,Calbe,51.9,11.7667
Dessau,Dessau,51.8333,12.25
Gardelegen,Gardelegen,52.5333,11.3667
Genthin,Genthin,52.4,12.1667
Groß Garz,Groß Garz,52.9333,11.6167
Halberstadt,Halberstadt,51.9,11.05
Haldensleben,Haldensleben,52.3,11.4167
Halle,Halle,51.5,12
Halle-Neustadt,Halle-Neustadt,51.4833,11.9333
Hanum,Hanum,52.6833,10.85
Havelberg,Havelberg,52.8167,12.0833
Hettstedt,Hettstedt,51.65,11.5
Jessen,Jessen,51.7833,12.95
Kropstädt,Kropstädt,51.9667,12.7333
Köthen,Köthen,51.75,11.9667
Merseburg,Merseburg,51.3667,12
Naumburg,Naumburg,51.15,11.8167
Neustadt,Neustadt,52.2,11.6
Oebisfelde,Oebisfelde,52.4333,10.9833
Oschersleben,Oschersleben,52.0333,11.25
Quedlinburg,Quedlinburg,51.7833,11.15
Rottleberode,Rottleberode,51.5167,10.9333
Roßlau,Roßlau,51.8833,12.25
Salzwedel,Salzwedel,52.85,11.15
Sangerhausen,Sangerhausen,51.4667,11.3
Schönebeck,Schönebeck,52.0167,11.75
Staßfurt,Staßfurt,51.8667,11.5833
Stendal,Stendal,52.6,11.85
Thale,Thale,51.75,11.05
Weißenfels,Weißenfels,51.2,11.9667
Wernigerode,Wernigerode,51.8333,10.7833
Wohlmirstedt,Wohlmirstedt,51.25,11.4667
Wolfen,Wolfen,51.6667,12.2833
Wolmirstedt,Wolmirstedt,52.25,11.6333
Zeitz,Zeitz,51.05,12.15
Zerbst,Zerbst,51.9667,12.0833
