<SIZE>80
<LANG>EN
<STATE>Harjumaa,HA
Aegviidu,59.2858,25.6142
Alavere,59.2433,25.3244
Alliku,59.3539,24.55
Ardu,59.1006,25.3708
Aruküla,59.3644,25.0772
Assaku,59.3775,24.8447
Ellamaa,59.0489,24.1792
Haabneeme,59.5114,24.8211
Habaja,59.0994,25.1753
Haiba,59.1267,24.4672
Harju-Risti,59.2342,24.0183
Harkujärve,59.4172,24.5872
Hüüru,59.3819,24.5297
Jõgisoo,59.2783,24.5106
Jüri,59.3542,24.8942
Karjaküla,59.3403,24.3856
Kehra,59.3361,25.3211
Keila,59.3036,24.4131
Keila-Joa,59.3997,24.3044
Kiili,59.3069,24.8378
Kiisa,59.2369,24.6889
Kiiu,59.4478,25.3794
Klooga,59.3197,24.2114
Kohatu,59.1606,24.5339
Kolgaküla,59.5242,25.7197
Kose-Uuemõisa,59.2,25.1053
Kostivere,59.4256,25.1036
Kumna,59.325,24.4389
Kurtna,59.2314,24.7183
Kuusalu,59.4439,25.4414
Laagri,59.352,24.6093
Lagedi,59.4056,24.9422
Laitse,59.1994,24.3803
Laulasmaa,59.3864,24.2297
Lehetu,59.045,24.2611
Lehola,59.2925,24.3114
Lehtmetsa,59.32,25.3569
Lohusalu,59.3942,24.1975
Loksa,59.5764,25.7214
Loo,59.4364,24.9483
Luige,59.3389,24.7617
Maardu,59.4767,25.025
Muraste,59.4572,24.4308
Muuga,59.4819,24.9294
Oru,59.1878,24.9806
Padise,59.2311,24.1406
Paldiski,59.3567,24.0531
Peetri,59.3942,24.8133
Pringi,59.5394,24.7939
Püünsi,59.5508,24.7958
Raasiku,59.3664,25.1831
Randvere,59.5089,24.8997
Rannamõisa,59.44,24.5144
Ravila,59.1786,25.2164
Riisipere,59.1142,24.3106
Rohuneeme,59.5569,24.7972
Saku,59.3022,24.6578
Saue,59.3203,24.5525
Suurupi,59.4553,24.3914
Tabasalu,59.4303,24.5331
Tallinn,59.4339,24.7281
Tammneeme,59.5289,24.8864
Turba,59.0831,24.225
Tutermaa,59.3178,24.4647
Tuula,59.2675,24.4439
Türisalu,59.4117,24.3072
Vaida,59.2906,24.9658
Valingu,59.305,24.4825
Valkla,59.4744,25.3186
Vanamõisa,59.3244,24.5347
Vardja,59.1639,25.2208
Vasalemma,59.2442,24.29
Vaskjala,59.3608,24.9436
Vihasoo,59.5594,25.8025
Viimsi,59.4967,24.8422
Vääna,59.3939,24.4025
Vääna-Jõesuu,59.4394,24.3597
Ämari,59.3667,24.5833
Ääsmäe,59.2381,24.5086
Ülejõe,59.3414,25.3697
