<SIZE>28
<LANG>EN
<STATE>Ida-Virumaa,IV
Aseri,59.4506,26.8675
Avinurme,58.9822,26.8642
Erra,59.3719,26.99
Iisaku,59.1014,27.3081
Järve,59.4058,27.3111
Jõhvi,59.3592,27.4211
Kiikla,59.2861,27.2369
Kiviõli,59.3531,26.9711
Kohtla-Järve,59.3986,27.2731
Kohtla-Nõmme,59.3517,27.175
Kuremäe,59.2025,27.5364
Lohusuu,58.9436,27.045
Lüganuse,59.3806,27.0303
Mäetaguse,59.2297,27.2722
Narva,59.3772,28.1903
Narva-Jõesuu,59.4589,28.0408
Olgina,59.3953,28.1253
Purtse,59.4189,27.0164
Püssi,59.36,27.0497
Rannu,59.4336,26.8436
Sillamäe,59.3997,27.7547
Sinimäe,59.3722,27.8747
Sonda,59.3436,26.8364
Tammiku,59.3294,27.3817
Toila,59.4236,27.5025
Tudulinna,59.0372,27.0853
Ulvi,58.9086,26.8136
Voka,59.3997,27.5817
