<SIZE>30
<LANG>EN
<STATE>Jõgevamaa,JN
Adavere,58.7061,25.8992
Esku,58.6475,25.8831
Jõgeva,58.7467,26.3939
Kaarepere,58.6633,26.5269
Kuremaa,58.7367,26.5225
Kurista,58.7608,26.3253
Laiuse,58.7881,26.4842
Lustivere,58.6669,26.0836
Luua,58.6514,26.5972
Maarja,58.6086,26.7439
Mustvee,58.8486,26.9397
Painküla,58.7181,26.3992
Pala,58.6667,27.0219
Palamuse,58.685,26.5789
Pikknurme,58.6022,26.2083
Pisisaare,58.7239,25.9683
Puurmani,58.5783,26.2753
Põltsamaa,58.6525,25.9706
Raja,58.7964,26.9497
Saare,58.6983,26.8411
Sadala,58.8653,26.6019
Saduküla,58.6719,26.285
Siimusti,58.7297,26.3394
Tabivere,58.5542,26.5956
Torma,58.8128,26.7383
Vaimastvere,58.8128,26.2917
Voore,58.7153,26.7514
Vägari,58.7442,26.2442
Väike-Kamari,58.6111,25.9842
Võisiku,58.6283,25.9206
