<SIZE>29
<LANG>EN
<STATE>Järvamaa,JR
Ahula,59.1092,25.7389
Albu,59.1506,25.6669
Ambla,59.1911,25.8456
Aravete,59.1417,25.7614
Ervita,58.9317,26.0764
Imavere,58.7331,25.7725
Jäneda,59.2458,25.7044
Järva-Jaani,59.0386,25.8864
Kaalepi,59.1,25.6833
Kabala,58.6897,25.6272
Karinu,59.0361,25.9653
Koeru,58.9631,26.0308
Käravete,59.1911,25.7542
Laupa,58.7661,25.3567
Lehtse,59.2494,25.8231
Oisu,58.7536,25.565
Paide,58.8856,25.5572
Peetri,58.95,25.8333
Päinurme,58.8103,25.9267
Roosna-Alliku,59.0272,25.7083
Sargvere,58.8894,25.7225
Särevere,58.79,25.4281
Taikse,58.7728,25.4847
Tarbja,58.9297,25.5881
Türi,58.8086,25.4325
Türi-Alliku,58.8158,25.4539
Vao,58.9392,25.9822
Viisu,58.9453,25.6717
Väätsa,58.8856,25.4464
