<SIZE>38
<LANG>EN
<STATE>Lääne-Virumaa,LV
Aaspere,59.4169,26.1172
Arkna,59.39,26.3717
Essu,59.4325,26.365
Haljala,59.4336,26.2614
Hulja,59.3522,26.2142
Kadrina,59.3347,26.145
Kiltsi,59.0839,26.1733
Laekvere,59.0656,26.5656
Moe,59.2503,26.0097
Muuga,59.1053,26.6158
Näpi,59.3647,26.4025
Paasvere,59.0633,26.6433
Pajusti,59.2744,26.4233
Piira,59.3103,26.3939
Porkuni,59.1869,26.2072
Rakke,58.9817,26.2544
Rakvere,59.3464,26.3558
Roela,59.1703,26.6003
Simuna,59.0431,26.4039
Sääse,59.1586,26.1539
Sõmeru,59.3611,26.4375
Tamsalu,59.1586,26.1153
Tapa,59.2606,25.9586
Triigi,59.1139,26.34
Tudu,59.1772,26.8581
Ubja,59.4122,26.4272
Uhtna,59.3917,26.5622
Ulvi,59.3242,26.6361
Ussimäe,59.3447,26.3819
Vaeküla,59.3397,26.5236
Vajangu,59.0975,26.0333
Vao,59.1058,26.1903
Veltsi,59.3986,26.2653
Vinni,59.2958,26.4322
Viru-Jaagupi,59.2425,26.4758
Viru-Nigula,59.4442,26.6875
Väike-Maarja,59.1264,26.25
Võsu,59.5725,25.9753
