<SIZE>27
<LANG>EN
<STATE>Põlvamaa,PL
Aarna,58.0656,26.9672
Ahja,58.2039,27.0733
Erastvere,57.9697,26.7939
Himmaste,58.0769,27.0742
Kanepi,57.9831,26.7564
Kauksi,58.0883,27.2206
Krootuse,58.0711,26.835
Leevi,57.9475,27.2147
Linte,58.1553,27.4592
Mammaste,58.0667,27.0453
Mikitamäe,58.0008,27.5481
Mooste,58.1561,27.1928
Orava,57.8967,27.4592
Peri,58.0142,27.0947
Põlgaste,57.9803,26.88
Põlva,58.0603,27.0694
Ristipalo,58.0822,27.4761
Rosma,58.0361,27.0719
Ruusa,58.0481,27.2936
Räpina,58.0981,27.4636
Saverna,58.0689,26.7247
Tilsi,57.975,27.0122
Tännassilma,58.0336,27.0133
Valgjärve,58.0794,26.6419
Vastse-Kuuste,58.1678,26.9286
Veriora,58.0042,27.3519
Värska,57.9581,27.6381
