<SIZE>42
<LANG>EN
<STATE>Pärnumaa,PR
Ahaste,58.4781,24.2014
Audru,58.4086,24.3739
Häädemeeste,58.0814,24.5103
Jõesuu,58.4928,24.9114
Jõõpre,58.4733,24.3242
Kergu,58.6756,24.7714
Kilingi-Nõmme,58.1503,24.9642
Koonga,58.5825,24.1542
Laadi,58.2675,24.6108
Lavassaare,58.5114,24.3889
Lemmetsa,58.4406,24.4061
Libatse,58.6589,24.4831
Lindi,58.3264,24.2692
Mustla,58.1342,25.1003
Paikuse,58.3792,24.6344
Papsaare,58.4047,24.4069
Pärnjõe,58.6378,24.9375
Pärnu,58.3747,24.5136
Pärnu-Jaagupi,58.6058,24.5153
Reiu,58.2931,24.5892
Saari,58.4839,24.4022
Sauga,58.4239,24.5022
Selja,58.5136,24.8089
Seljametsa,58.3608,24.6658
Silla,58.3419,24.6294
Sindi,58.4006,24.6675
Suigu,58.5286,24.6967
Surju,58.235,24.7175
Suurejõe,58.6158,25.0969
Taali,58.4472,24.7808
Tali,58.0592,24.7889
Tammiste,58.3886,24.5819
Tihemetsa,58.1453,25.0442
Tootsi,58.5781,24.7925
Tori,58.4789,24.8242
Treimani,57.9211,24.3886
Tõstamaa,58.3325,23.9997
Uulu,58.2836,24.5872
Vahenurme,58.6175,24.3964
Vihtra,58.5875,25.0153
Vändra,58.6481,25.0361
Võiste,58.4667,24.4833
