<SIZE>30
<LANG>EN
<STATE>Raplamaa,RA
Alu,59.0225,24.7608
Eidapere,58.7514,24.9428
Juuru,59.0647,24.9503
Järlepa,59.1331,24.9331
Järvakandi,58.7789,24.8258
Kaerepere,58.9656,24.8436
Kasti,58.8722,24.5367
Keava,58.9464,24.9033
Kehtna,58.9303,24.8781
Kivi-Vigala,58.7153,24.3769
Kodila,59.0425,24.6683
Kohila,59.1681,24.7575
Kuimetsa,59.0433,25.1253
Kuusiku,58.9756,24.7186
Käru,58.8339,25.1481
Laukna,58.9156,24.1719
Lelle,58.8636,25.0044
Märjamaa,58.9039,24.4306
Orgita,58.9286,24.4289
Prillimäe,59.1883,24.805
Purku,58.8847,24.7864
Raikküla,58.9386,24.7614
Rapla,59.0072,24.7928
Sipa,58.9228,24.3156
Tamme,58.9283,24.6439
Valgu,58.8219,24.5933
Valtu,58.9808,24.8411
Vana-Vigala,58.7697,24.2736
Varbola,59.0433,24.4492
Vilivere,59.2019,24.7142
