<SIZE>49
<LANG>EN
<STATE>Tartumaa,TA
Alatskivi,58.5981,27.1336
Annikoru,58.2672,26.3006
Elva,58.2225,26.4211
Haage,58.365,26.6272
Ilmatsalu,58.3864,26.5467
Kaagvere,58.3456,26.8839
Kallaste,58.655,27.1592
Kasepää,58.5203,27.23
Kavastu,58.3747,27.0442
Kolkja,58.5456,27.215
Koosa,58.52,27.0742
Kärkna,58.4697,26.6233
Käärdi,58.2081,26.4114
Kõrveküla,58.4242,26.7822
Külitse,58.3231,26.6122
Laeva,58.4919,26.3617
Lohkva,58.3692,26.7981
Luke,58.2403,26.5367
Luunja,58.3558,26.8808
Lähte,58.4892,26.6703
Meeri,58.2903,26.4628
Mehikoorma,58.2328,27.4725
Melliste,58.3289,26.9814
Nõgiaru,58.3153,26.5372
Nõo,58.2756,26.5375
Puhja,58.3419,26.3147
Rahinge,58.3844,26.6106
Rannu,58.2367,26.2181
Roiu,58.3,26.8714
Rämsi,58.3647,26.3656
Räni,58.3575,26.6506
Rõngu,58.1453,26.2481
Soinaste,58.3389,26.6897
Suure-Kambja,58.2206,26.7061
Tammistu,58.4433,26.9336
Tartu,58.3661,26.7361
Tõravere,58.2694,26.4586
Uhti,58.2786,26.73
Ulila,58.3633,26.4261
Vahi,58.4158,26.7092
Vana-Kuuste,58.255,26.7756
Vara,58.5208,26.8817
Varnja,58.4894,27.2358
Vasula,58.4719,26.7311
Vedu,58.4908,26.7667
Vorbuse,58.4167,26.6583
Võnnu,58.2783,27.0481
Äksi,58.5269,26.6442
Ülenurme,58.3158,26.7242
