<SIZE>37
<LANG>EN
<STATE>Viljandimaa,VD
Abja-Paluoja,58.1253,25.3497
Holstre,58.2733,25.7036
Jämejala,58.3894,25.5661
Kamara,58.1208,25.1944
Karksi,58.1172,25.5878
Karksi-Nuia,58.1033,25.5628
Karula,58.4089,25.6136
Koksvere,58.6269,25.645
Kolga-Jaani,58.5331,25.9458
Kärstna,58.145,25.81
Kõo,58.6292,25.7211
Kõpu,58.3269,25.3117
Leie,58.42,26.0258
Mustivere,58.3942,25.5086
Mõisaküla,58.0922,25.1864
Olustvere,58.5536,25.5628
Paistu,58.2706,25.6228
Pinska,58.3539,25.5467
Polli,58.1244,25.5456
Puiatu,58.3617,25.4206
Päri,58.3453,25.5033
Põlde,58.1308,25.4231
Ramsi,58.3058,25.5353
Reegoldi,58.5683,25.5169
Saarepeedi,58.4306,25.6906
Soe,58.2133,25.9281
Suislepa,58.1497,25.9569
Suure-Jaani,58.5361,25.4706
Sürgavere,58.4925,25.4842
Uusna,58.3892,25.7283
Vana-Võidu,58.3906,25.6542
Vastemõisa,58.4422,25.4331
Viiratsi,58.36,25.6372
Viljandi,58.3639,25.59
Võhma,58.6283,25.5483
Õisu,58.1972,25.5503
Ülde,58.5228,25.6606
