<SIZE>24
<LANG>EN
<STATE>Valgamaa,VG
Aakre,58.1014,26.1944
Ala,58.0161,25.69
Hargla,57.6117,26.4044
Helme,58.0119,25.8972
Hummuli,57.9036,26.0583
Kaagjärve,57.7672,26.1772
Keeni,57.9539,26.2797
Koikküla,57.6897,26.2817
Laatre,57.8689,26.2536
Linna,58.0317,25.8525
Lüllemäe,57.7511,26.3839
Nõuni,58.1222,26.5253
Otepää,58.0583,26.4967
Patküla,57.9817,25.8964
Puka,58.0497,26.2264
Riidaja,58.0967,25.8975
Sangaste,57.9253,26.315
Sihva,58.0194,26.4347
Sooru,57.8533,26.1158
Tagula,57.8572,26.3706
Tsirguliina,57.86,26.1969
Tõrva,58.0028,25.935
Valga,57.7744,26.0453
Õru,57.9258,26.1789
