<SIZE>27
<LANG>EN
<STATE>Võrumaa,VR
Järvere,57.8497,26.8689
Kobela,57.8419,26.4639
Kollino,57.8158,26.5589
Kose,57.8128,27.0369
Kraavi,57.85,26.5567
Kääpa,57.8708,27.1064
Lasva,57.8628,27.1842
Lusti,57.7786,26.4861
Meegomäe,57.7969,26.9983
Misso,57.6022,27.2378
Mõniste,57.6092,26.6136
Navi,57.8775,26.9447
Obinitsa,57.8103,27.4422
Osula,57.8858,26.8197
Parksepa,57.9097,26.9831
Puiga,57.7961,27.0389
Rõuge,57.7278,26.9097
Saru,57.6047,26.5386
Sõmerpalu,57.85,26.8253
Tsooru,57.7403,26.6556
Uue-Antsla,57.8772,26.545
Vaabina,57.8639,26.6136
Vana-Antsla,57.8661,26.5322
Varstu,57.6392,26.6597
Vastseliina,57.7297,27.2936
Väimela,57.8908,27.0189
Võru,57.8339,27.0194
