<SIZE>15
<LANG>EN,ES
<STATE>Autonomous Region of Navarre,NA
Atarrabia,Villava,42.8333,-1.6
Barañáin,Barañáin,42.8,-1.66667
Bargota,Bargota,42.5667,-2.31667
Bera,Bera,43.2818,-1.68632
Burlata,Burlada,42.8167,-1.6
Echarri-Aranaz,Echarri-Aranaz,42.9079,-2.06474
Estella,Estella,42.6667,-2.03333
Lodosa,Lodosa,42.4167,-2.08333
Luzaide,Valcarlos,43.1,-1.3
Ochagavía,Ochagavía,42.9054,-1.09112
Pamplona,Pamplona,42.8169,-1.64323
Sangüesa,Sangüesa,42.5833,-1.28333
Tafalla,Tafalla,42.5167,-1.66667
Tudela,Tudela,42.0833,-1.6
Villafranca,Villafranca,42.2833,-1.75
